Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
Illustrate the Fibonacci spiral using squares with side lengths following the Fibonacci sequence up to 8.,"Adjacent squares with sides 1,1,2,3,5,8 arranged in counterclockwise spiral. Quarter circles in each square forming continuous spiral. Each square labeled with its side length.","'Correct sequential placement of squares (1,1,2,3,5,8)', 'Accurate spiral curvature connecting square quadrants', 'Clear labeling of each square's Fibonacci number', 'Counterclockwise progression maintained', 'Largest square (8) positioned according to spiral growth'",Symbolic Mathematical,Number Theory,1
Visualize twin prime pairs below 50 showing valid pairs and near-misses.,"Number line from 3-49 with connected odd pairs. Highlighted valid pairs: (3,5), (5,7), (11,13), (17,19), (29,31), (41,43). Dimmed near-misses like (23,25) with 25 crossed out.","All consecutive odd number pairs displayed', 'Valid twin prime pairs distinctly colored', 'Non-prime numbers in pairs crossed out', 'Largest valid pair (41,43) emphasized', 'Symmetrical distribution along number line",Symbolic Mathematical,Number Theory,2
Illustrate Fibonacci sequence modulo 5 showing periodic pattern.,Circular diagram with nodes 0-4. Arrows tracing sequence: 0→1→1→2→3→0→3→3→1→4→0→4→4→3→2→0→2→2→4→1→0. Cycle length (20) marked.,"Complete cycle of 20 terms shown', 'Nodes arranged in circular modulo-5 layout', 'Transitions between terms clearly arrowed', 'Start/end repetition point (0,1) highlighted', 'Period length numerically noted",Symbolic Mathematical,Number Theory,3
Demonstrate 12 as an abundant number through proper divisor relationships.,"Factors 1,2,3,4,6 orbiting 12. Summation path showing 1+2+3+4+6=16 >12. Abundance value 4 displayed prominently.","All proper divisors included (excluding 12)', 'Clear summation sequence to 16', 'Numerical comparison (16 vs 12)', 'Abundance calculation (16-12=4) shown', 'Non-perfect status emphasized",Symbolic Mathematical,Number Theory,4
Show integer solutions to equation 3x + 4y = 24 on coordinate plane.,"Grid with line 3x+4y=24. Highlighted points at (0,6), (4,3), (8,0) and (-4,9). Solutions connected with dotted line, axes labeled.","All integer solutions plotted', 'Negative coordinate solutions included', 'Equation displayed on graph', 'Linear connection between points', 'Intercept points (8,0) and (0,6) emphasized",Symbolic Mathematical,Number Theory,5
Visualize modular arithmetic using clock face for 7 × 5 mod 12.,Clock numbered 1-12. Arrows showing 5 jumps of 7 hours: 0→7→2→9→4→11. Final position at 11 with equation 35 ≡11 mod12.,"Clock face with clear 12-hour markings', 'Five successive 7-hour jumps shown', 'Cumulative position tracking', 'Final equivalence (35=12×2+11) displayed', 'Color differentiation between individual steps",Symbolic Mathematical,Number Theory,6
Create a visual representation of Pascal's Triangle through row 5.,"A symmetrical triangle with rows 0-5: [1], [1,1], [1,2,1], [1,3,3,1], [1,4,6,4,1], [1,5,10,10,5,1]. Highlight the doubling pattern of row sums (1,2,4,8,16,32).","Accurate numerical entries in each row', 'Symmetrical alignment maintained', 'Row sum calculations shown (1=1, 1+1=2, etc.)', 'Binomial coefficient relationships visualized', 'Progressive shading/coloring for pattern emphasis",Symbolic Mathematical,Number Theory,7
Create a factor tree demonstrating prime factorization of 120.,Tree structure starting with 120 branching into 2×60 → 60→4×15 → 4→2×2 and 15→3×5. Final primes (2³×3×5) highlighted at tree leaves.,"Complete decomposition: 120→2×60→4×15→etc.', 'All terminal nodes are prime numbers', 'Correct exponents shown (2³, 3¹, 5¹)', 'Hierarchical structure with clear parent-child relationships', 'Prime numbers distinctly colored/shaped",Symbolic Mathematical,Number Theory,8
Show 17 modulo 5 using a circular diagram.,Circle divided into 5 segments (0-4) with arrow making 17 steps from 0. Landing on 2 with equation 17 mod 5=2 displayed.,"5-segment circle labeled 0-4', '17 progression steps shown', 'Final remainder position at 2', 'Key equation displayed', 'Clockwise numbering sequence",Symbolic Mathematical,Number Theory,9
Visualize the steps of the Euclidean algorithm to find the GCD of 48 and 18.,The image should show sequential division steps: 48 ÷ 18 = 2 with remainder 12; 18 ÷ 12 = 1 with remainder 6; 12 ÷ 6 = 2 with remainder 0. The GCD (6) is highlighted as the last non-zero remainder.,"'Accurate division steps displayed (48/18, 18/12, 12/6)', 'Remainders clearly shown (12, 6, 0)', 'GCD (6) prominently highlighted', 'Flow or arrows connecting each step', 'Labels indicating each step's calculation'",Symbolic Mathematical,Number Theory,10
"Create a factor tree for the number 60, breaking it down into its prime factors.","The image displays 60 splitting into branches (e.g., 6×10). Each branch further divides: 6 into 2×3, and 10 into 2×5. All leaf nodes (2, 3, 2, 5) are prime factors.","Initial number 60 correctly split into factor pairs', 'Complete decomposition into prime factors (2,3,2,5)', 'Tree structure hierarchy clearly visible', 'Prime factors distinctly marked', 'Accurate multiplication relationships at each node",Symbolic Mathematical,Number Theory,11
Show how the number 10 can be expressed as the sum of two prime numbers.,"The image presents 10 as 3+7 and 5+5. Both pairs are highlighted with visual elements (e.g., circles around primes 3,7,5) showing their sum equals 10.","Two valid prime pairs shown (3+7, 5+5)', 'Visual emphasis on primes in each pair', 'Summation explicitly leading to 10', 'Clear differentiation between each pair', 'Correct labeling of primes and their sum",Symbolic Mathematical,Number Theory,12
"Generate a Ulam spiral grid with numbers from 1 to 100, highlighting all prime numbers.","A spiral grid starting at 1 in the center, spiraling outward to 100. All prime numbers are marked distinctly, revealing diagonal patterns and clusters.","Correct spiral layout with sequential numbering', 'All primes up to 100 accurately highlighted', 'Visibility of diagonal and vertical/horizontal prime concentrations', 'Clear central starting point (number 1)', 'Adequate spacing for number legibility",Symbolic Mathematical,Number Theory,13
Show a Venn diagram comparing multiples of 4 and 6 to determine their least common multiple (LCM).,"Two overlapping circles labeled 'Multiples of 4' (4,8,12,16,...) and 'Multiples of 6' (6,12,18,...). The intersection includes 12, 24, 36,... with LCM 12 highlighted as the smallest common multiple.","Correct multiples lists (4,8,12,... and 6,12,18,...)', 'Intersection showing common multiples (12,24,...)', 'LCM (12) clearly emphasized', 'Proper set labeling and diagram structure', 'Distinction between unique and shared multiples",Symbolic Mathematical,Number Theory,14
Visualize why 28 is considered a perfect number.,"Image showing all proper divisors of 28 (1,2,4,7,14) arranged around it with summation arrows (1+2+4+7+14=28). Highlight equality between sum and original number.","Complete proper divisor list (1,2,4,7,14)', 'Clear summation visualization (1+2+4+7+14)', 'Explicit equation showing 28=28', 'Graphical emphasis on equality relationship', 'Distinct visual hierarchy between divisors and sum",Symbolic Mathematical,Number Theory,15
Create a factor tree diagram for the number 84 showing its prime factorization.,"Hierarchical branches breaking down 84 → 2×42 → 2×2×21 → 2×2×3×7. All terminal nodes (2,2,3,7) highlighted as prime factors.","Complete decomposition (84=2×2×3×7)', 'Clear hierarchical branching structure', 'Prime factors distinctly marked at terminal nodes', 'No composite numbers remaining in final factors', 'Proper labeling of multiplication steps",Symbolic Mathematical,Number Theory,16
Illustrate modular arithmetic using 15 mod 12 on a circular clock face.,"Clock numbered 0-11 with arrow starting at 0 making 15 full hour marks, ending at position 3. Equivalent equation 15 ≡ 3 mod12 shown.","'Correct clock numbering (0-11 instead of 1-12)', '15 ticks/marks around circumference', 'Final position at 3 o'clock', 'Equation displayed (15 mod12=3)', 'Visual distinction between full rotations and remainder'",Symbolic Mathematical,Number Theory,17
Show twin prime pairs under 50 using number line segments.,"Highlighted prime pairs with difference 2: (3,5), (5,7), (11,13), (17,19), (29,31), (41,43). Non-twin primes shown without connecting lines.","All twin prime pairs under 50 included', 'Consistent 2-unit spacing between paired primes', 'Clear visual connectors (lines/arrows) for twin pairs', 'Non-twin primes (e.g. 23, 37) unconnected', 'Scale accuracy on number line",Symbolic Mathematical,Number Theory,18
Generate a color-coded Pascal's Triangle highlighting even/odd numbers in first 10 rows.,"Triangular array with rows 0-9. Even numbers in one color pattern, odd numbers in contrasting pattern. Emerging Sierpiński triangle pattern visible.","Accurate binomial coefficient values', 'Consistent color/texture differentiation for parity', 'Visible fractal-like pattern formation', 'Row labels (0-9) for orientation', 'Clear legend explaining even/odd coding",Symbolic Mathematical,Number Theory,19
Visualize Goldbach's conjecture for the number 16 showing prime sum pairs.,"Number 16 at center with radiating pairs: 3+13, 5+11, (7+9 invalid - 9 not prime). Valid pairs highlighted, invalid dimmed.","All possible prime pairs displayed', 'Clear validation status for each pair', 'Central positioning of target number (16)', 'Prime numbers in pairs distinctly marked', 'Emphasis on 5+11 as largest valid pair",Symbolic Mathematical,Number Theory,20
Illustrate perfect number properties using 28 with factor relationships.,"Factors 1,2,4,7,14 arranged around 28. Arrows showing 1+2+4+7+14=28. Non-included factors (e.g. 28 itself) marked as excluded.","All proper factors (1,2,4,7,14) included', 'Exclusion of 28 itself from sum', 'Summation pathway leading to 28', 'Numerical validation (1+2+4+7+14=28) displayed', 'Visual hierarchy emphasizing equality",Symbolic Mathematical,Number Theory,21
Show integer lattice points on a circle of radius 5 centered at origin.,"Coordinate grid with circle x²+y²=25. Highlighted points at (±3,±4), (±4,±3), (±5,0), (0,±5). Pythagorean triples labeled.","Accurate radius 5 circle equation displayed', 'All 12 integer coordinate points marked', 'Pythagorean triple relationships shown (3²+4²=5²)', 'Symmetrical distribution across quadrants', 'Clear differentiation from non-integer points",Symbolic Mathematical,Number Theory,22
Visualize the Sieve of Eratosthenes process to identify prime numbers between 1 and 50.,"The image should show a grid of numbers 1-50. Multiples of 2 (excluding 2), 3 (excluding 3), 5 (excluding 5), and 7 (excluding 7) are crossed out. Prime numbers (2, 3, 5, 7, 11, 13, ..., 47) remain highlighted.","Grid structure with numbers 1-50 clearly visible', 'Multiples of 2/3/5/7 crossed out (excluding base primes)', 'All primes (2,3,5,7,11,13,17,19,23,29,31,37,41,43,47) remain highlighted', 'Number 1 explicitly marked as non-prime', 'Key multiples (25=5², 49=7²) properly eliminated",Symbolic Mathematical,Number Theory,23
Illustrate the divisibility rule for 3 using the number 123.,"The image should show the digits 1, 2, and 3 with arrows summing them (1+2+3=6). Highlight that 6 is divisible by 3, so 123 is divisible by 3.","Visual separation of digits 1, 2, 3', 'Clear summation sequence (1+2+3=6)', 'Explicit connection between sum (6) and divisibility by 3', 'Final conclusion (123 ÷ 3 = 41) shown through visual elements', 'Color/texture differentiation between digits and sum components",Symbolic Mathematical,Number Theory,24
Generate a visual representation of the Fibonacci sequence’s first 10 numbers.,"The image should display the sequence 0, 1, 1, 2, 3, 5, 8, 13, 21, 34, either in a spiral pattern, rectangular grid, or sequential list.","Accurate sequence: 0,1,1,2,3,5,8,13,21,34', 'Consistent visual pattern (spiral proportions/grid alignment/list order)', 'Clear progression showing each number as sum of two predecessors', 'Appropriate scaling in spiral representation (if used)', 'Distinct highlighting of recursive relationships",Symbolic Mathematical,Number Theory,25
