Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A dragon-like toaster,"A toaster with a majestic, dragon-like body, sharp scales along the sides, and a fiery mouth opening where the bread pops out.","Merging dragon anatomy (scales, mouth shape) with toaster functionality while maintaining recognizability of both elements.",Concept mixing,Literal Mixing,1
A butterfly-like robot,"A robot with delicate, iridescent wings resembling a butterfly, with mechanical body parts and antennas.","Combining organic butterfly features (delicate wings, iridescence) with mechanical robot components in a cohesive design.",Concept mixing,Literal Mixing,2
A piano-like tree,"A tree with piano keys growing along its branches, and musical notes floating around its leaves.",Integrating rigid musical elements (piano keys) with organic tree structures while preserving functionality of both concepts.,Concept mixing,Literal Mixing,3
A cat-like submarine,"A submarine shaped like a cat, with a tail fin resembling a cat's tail, and eyes as windows on the front.","Blending feline morphology (tail shape, facial features) with submarine mechanics and hydrodynamic requirements.",Concept mixing,Literal Mixing,4
A bicycle-like chair,"A chair designed with bicycle wheels as its base, and handlebars used as armrests.","Reinterpreting bicycle components (wheels, handlebars) as functional furniture elements while maintaining comfort and stability.",Concept mixing,Literal Mixing,5
A CFO-like bus,"A bus designed with the sleek, professional features associated with a Chief Financial Officer (CFO), such as a streamlined, efficient design that prioritizes functionality and structure. The bus might have a sophisticated, business-like exterior with modern, clean lines, and the interior could reflect a corporate setting with organized seating, digital systems for data management, and luxurious materials, reflecting the precision and professionalism of a CFO.","The challenge is combining the attributes of a CFO, such as efficiency, precision, and professionalism, with the functional design of a bus, which must remain practical for transportation while conveying a high level of organization and refinement.",Concept mixing,Literal Mixing,6
A bird-like helicopter,"A helicopter with wings resembling bird feathers, a beak-shaped nose, and a tail resembling a bird’s tail feathers.","Reconciling avian biological features (feathered wings, beak) with helicopter aerodynamics and mechanical components.",Concept mixing,Literal Mixing,7
A castle-like lighthouse,"A lighthouse built in the style of a medieval castle, with towering stone walls, turrets, and a rotating light atop the structure.","Fusing castle architecture (turrets, stone walls) with lighthouse functionality (height, light placement) while maintaining structural coherence.",Concept mixing,Literal Mixing,8
A fish-like skateboard,"A skateboard with a fish-shaped deck, featuring fins as side guards and a tail at the back, creating a fluid, aquatic aesthetic.","Incorporating aquatic life features (fish shape, fins) into skateboard design while preserving board functionality and ergonomics.",Concept mixing,Literal Mixing,9
A flower-like satellite,"A satellite designed with petals extending outward, forming a flower shape, with solar panels resembling delicate flower petals.","Combining organic flower features (petals, delicate structure) with high-tech satellite functionality and engineering.",Concept mixing,Literal Mixing,10
A cat-like bed,"A bed designed with soft, furry material resembling a cat’s coat, complete with a curled-up, comfortable shape that invites sleep. It features cat-like ears at the headrest and a tail-shaped pillow.","Merging the physical attributes of a cat (fur texture, shape) with the functionality of a bed, while ensuring the bed remains comfortable and recognizable as a piece of furniture.",Concept mixing,Literal Mixing,11
A tiger-like dog,"A dog with tiger-like stripes running along its body, a muscular build, and a fierce yet playful demeanor.","Blending the bold, striped patterns and strong presence of a tiger with the familiar and friendly shape of a dog, maintaining traits that evoke both animals.",Concept mixing,Literal Mixing,12
A bird-like charging cable,"A charging cable styled with feathered patterns and a beak-shaped connector, mimicking the elegance and lightness of a small bird.","Integrating bird-inspired aesthetics (feathers, beak) into a functional charging cable without compromising durability and performance.",Concept mixing,Literal Mixing,13
A mushroom-like pair of sunglasses,"A pair of sunglasses with frames shaped like mushroom caps, with the lenses resembling the spongy texture of the mushroom’s gills.","Fusing organic mushroom shapes (rounded caps, gills) with functional, wearable sunglasses design while maintaining comfort.",Concept mixing,Literal Mixing,14
A lion-like bamboo flute,"A bamboo flute carved with a lion’s mane pattern swirling around its body, and a decorative lion head at the mouthpiece, evoking the majestic and powerful presence of a lion while maintaining the flute’s elegant sound.","Merging the bold, regal imagery of a lion with the traditional, delicate form of a bamboo flute, ensuring that both the aesthetic and functionality remain intact.",Concept mixing,Literal Mixing,15
A burger-like tent,"A tent designed to resemble a hamburger, with layers of fabric imitating the bun, lettuce, cheese, and patty, creating a playful and eye-catching camping shelter.","Blending the visual aesthetic of a hamburger with the functional structure of a tent, ensuring it remains practical while highlighting the whimsical burger-inspired design.",Concept mixing,Literal Mixing,16
A dragonfly-like chopsticks,"Chopsticks designed with dragonfly wing patterns etched along the surface, and a subtle curve at the ends mimicking the elegance of dragonfly tails, creating a unique and visually striking dining tool.",Balancing the intricate aesthetic details of dragonfly anatomy (such as wing patterns and slender forms) with the simplicity and practicality of chopsticks.,Concept mixing,Literal Mixing,17
A rabbit-like vacuum cleaner,"A vacuum cleaner shaped like a rabbit, with large ears as handles, a soft, fluffy body, and a round nose-like nozzle where suction occurs.","Blending the cute, organic shape of a rabbit with the functional design of a vacuum cleaner while ensuring practicality and performance.",Concept mixing,Literal Mixing,18
A peacock-like umbrella,"An umbrella with a handle shaped like a peacock's neck, and the canopy unfurling in iridescent, feather-like patterns resembling a peacock’s tail.","Integrating the intricate, feathered structure of a peacock’s tail with the practical design of an umbrella, while maintaining durability and function.",Concept mixing,Literal Mixing,19
A giraffe-like guitar,"A guitar with a long, slender neck resembling a giraffe’s, and the body of the guitar designed with patterns and colors resembling a giraffe’s spots.","Combining the slender, elongated neck of a giraffe with the compact, ergonomic structure of a guitar, while maintaining functionality and comfort.",Concept mixing,Literal Mixing,20
A dolphin-like bicycle,"A bicycle with a sleek, curved frame that mimics the shape of a dolphin, complete with a tail-like rear end and fins on the sides of the wheels.","Fusing the streamlined, aquatic form of a dolphin with the mechanical structure and ergonomic requirements of a bicycle.",Concept mixing,Literal Mixing,21
A dinosaur-like lamp,"A lamp designed to resemble a dinosaur, with a sculpted dinosaur body as the base and a lampshade shaped like a leafy tree canopy, evoking a prehistoric environment.","Integrating dinosaur-inspired elements (body shape, textured scales) into a functional lamp, ensuring the lamp remains stable and the lighting is practical.",Concept mixing,Literal Mixing,22
