Prompt,Reference Caption,Category,Subcategory,id,Assessment Point
Show the hexadecimal representation of the word '!@#' using UTF-8 encoding.,!:21 @:40 #:23,Symbolic Mathematical,Cryptographic Encoding,1,"'Correct hex codes for symbols !, @, #', 'Symbol-to-hex alignment', 'Uppercase hex representation', 'Spacing between symbol pairs'"
"Visualize the message 'Cat' encoded in Base64, with each character separated by a space.",C: Q2F0 T: VG8 A: QWQ,Symbolic Mathematical,Cryptographic Encoding,2,"'Correct Base64 encoded values for characters C, A, and T', 'Proper formatting with character labels and colon separators', 'Accurate Base64 encoding for each character', 'Clear spatial separation between different character encodings'"
Show the hexadecimal representation of the word 'TEXT' using UTF-8 encoding.,T: 54 E: 65 X: 78 T: 74,Symbolic Mathematical,Cryptographic Encoding,3,"'Correct hexadecimal codes for each character in UTF-8', 'Proper letter-to-code pairing with colon separators', 'Accurate representation of case (uppercase hex digits)', 'Consistent spacing between different character representations'"
Depict a simple substitution cipher where the word 'SECRET' is replaced with a corresponding letter 3 positions ahead in the alphabet.,"S -> W, E -> H, C -> F, R -> U, E -> H, T -> W",Symbolic Mathematical,Cryptographic Encoding,4,"'Accurate +3 position shift for each letter (no wrap-around needed)', 'Correct arrow symbol usage for substitution notation', 'Proper comma separation between substitution pairs', 'Consistent case maintenance (all uppercase letters)'"
Visualize the hexadecimal representation of the phrase 'Good Morning!' using UTF-16 encoding.,G: 0047 o: 006F o: 006F d: 0064  (space): 0020 M: 004D o: 006F r: 0072 n: 006E i: 0069 n: 006E g: 0067 !: 0021,Symbolic Mathematical,Cryptographic Encoding,5,"'Accurate hexadecimal conversion for letters and punctuation', 'Proper UTF-16 byte length (16 bits per character)', 'Correct ordering matching original phrase sequence', 'Appropriate use of character labels and spacing'"
Show the base64 encoding of the word 'IMAGE'.,I: QGkgUw== M: QGkgUw== A: QGkgUw== G: QGkgUw== E: QGkgUw==,Symbolic Mathematical,Cryptographic Encoding,6,"'Consistent base64 padding with double equals signs', 'Character-to-encoding pair alignment', 'Proper colon separation between letters and codes', 'Uniform code structure across all characters'"
Depict a Vigenère cipher encryption of the word 'ENCODE' using the key 'KEY'.,An image of 'FVQXOJ',Symbolic Mathematical,Cryptographic Encoding,7,"'Correct alignment of key letters (K-E-Y-K-E) with plaintext letters (E-N-C-O-D-E)', 'Accurate application of Vigenère modular arithmetic for each character shift', 'Proper representation of the encrypted result FVQXOJ with no errors', 'Visual distinction between plaintext/key and ciphertext (e.g., labels or formatting)'"
"Visualize the message '135' encoded in Excess-3 code, with each digit separated by a space.",1: 0100 3: 0110 5: 1000,Symbolic Mathematical,Cryptographic Encoding,8,"'Correct Excess-3 encoding for digits 1, 3, and 5', 'Accurate 4-bit representation for each digit', 'Clear separation between digit representations with spaces', 'Proper labeling format (e.g., 1: preceding its Excess-3 equivalent)'"
Show the hexadecimal representation of the word 'ENCRYPT' using UTF-8 encoding.,E: 45 N: 4E C: 43 R: 52 Y: 59 P: 50 T: 54,Symbolic Mathematical,Cryptographic Encoding,9,"'Accurate UTF-8-to-hex conversion for each character (E=0x45, N=0x4E, etc.)', 'Proper hexadecimal notation without 0x prefixes (e.g., 45 instead of 0x45)', 'Consistent formatting with character labels (e.g., E: 45)', 'Correct order maintaining original character sequence (E→N→C→R→Y→P→T)'"
Depict a Caesar cipher where the word 'PASSWORD' is encrypted with a shift of 2.,An image of 'RBTXVWU',Symbolic Mathematical,Cryptographic Encoding,10,"'Consistent +2 shift applied to all alphabetic characters', 'Correct handling of character wrapping (e.g., W→Y, U→W)', 'Accurate representation of ciphertext as RBTXVWU', 'Visual indication of shift process (e.g., alignment arrows or shift diagram)'"
"Visualize the message 'obscure' encoded in Unicode, with each character separated by a space.",o: U+006F b: U+0062 s: U+0073 c: U+0063 u: U+0075 r: U+0072 e: U+0065,Symbolic Mathematical,Cryptographic Encoding,11,"'Correct Unicode code points for each character (o=U+006F, b=U+0062, etc.)', 'Proper U+ notation format with 4 hexadecimal digits', 'Consistent spacing between character representations', 'Accurate preservation of character order and repetition (e.g., double c represented twice)'"
