Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
An image with a small number of cars. There are twice as many cars as buses.,An image with a small number of cars. There are twice as many cars as buses.,Understanding of approximate quantity ('small number') and proportional relationship ('twice as many'),Numerical,Approximate Number Generation,1
An image of a bookshelf with some books. There are no books on the second shelf.,An image of a bookshelf with some books. There are no books on the second shelf.,Interpretation of approximate quantity ('some') and absolute absence ('no books'),Numerical,Approximate Number Generation,2
An image of a kitchen with no utensils.,An image of a kitchen with no utensils.,Recognition of absolute absence ('no utensils'),Numerical,Approximate Number Generation,3
An image with many flowers and some bees. There are as many flowers as bees.,An image with many flowers and some bees. There are as many flowers as bees.,"Integration of approximate quantities ('many', 'some') and equality relationship",Numerical,Approximate Number Generation,4
An image of a desk with a large number of papers. There are fewer papers than pens.,An image of a desk with a large number of papers. There are fewer papers than pens.,Comprehension of approximate quantity ('large number') and comparative relationship ('fewer than'),Numerical,Approximate Number Generation,5
An image with a small number of chairs and a small number of tables. There are the same number of chairs as tables.,An image with a small number of chairs and a small number of tables. There are the same number of chairs as tables.,Recognition of approximate quantities ('small number') and numerical equivalence,Numerical,Approximate Number Generation,6
An image with a large number of dogs and a few people. There are more dogs than people.,An image with a large number of dogs and a few people. There are more dogs than people.,"Evaluates understanding of comparative approximate quantities using 'a large number', 'a few', and 'more'.",Numerical,Approximate Number Generation,7
An image with some crystal geodes and some ceramic vases. There are slightly more crystal geodes than ceramic vases.,"An image with crystal geodes and ceramic vases where the number of geodes is slightly larger than the number of vases, but both are present in non-excessive amounts.",Assesses ability to depict subtle numerical difference between similar quantities using 'some' and 'slightly more'.,Numerical,Approximate Number Generation,8
An image of a display shelf. There are no antique clocks on the bottom shelf.,"A display shelf with some shelves containing antique clocks, but the bottom shelf is completely empty.",Tests the understanding of absolute absence of an object in a specific location using 'no'.,Numerical,Approximate Number Generation,9
"An image with some velvet armchairs, some marble pedestals, and some hanging lanterns. There are more armchairs than pedestals, and more pedestals than lanterns.",An image where the number of velvet armchairs > marble pedestals > hanging lanterns.,Evaluates comprehension of tiered comparative approximate quantities among multiple object types.,Numerical,Approximate Number Generation,10
An image of a wooden bench under a large willow tree. There are no pigeons perched on the bench.,A bench under a willow tree with zero pigeons sitting on it.,Tests the depiction of zero quantity in a specific spatial context using 'no'.,Numerical,Approximate Number Generation,11
An image of an artist's workbench with some paint palettes and some sculpting chisels. There are about the same number of palettes as chisels.,The image should show approximately equal numbers of paint palettes and sculpting chisels.,Understanding and representing approximate equality in quantities.,Numerical,Approximate Number Generation,12
An image of a study table with many ink bottles and a few wax seal stamps.,The number of ink bottles should clearly exceed the number of wax seal stamps.,Understanding and depicting quantity contrast using approximate quantifiers like 'many' and 'few'.,Numerical,Approximate Number Generation,13
An image of a rooftop garden with no garden gnomes placed in it.,A rooftop garden that is entirely free of garden gnomes.,Correctly representing the absence of entities (zero quantity).,Numerical,Approximate Number Generation,14
An image of a lakeside picnic area with some woven hammocks and some stone fire pits. There are more hammocks than fire pits.,The number of woven hammocks should exceed the number of stone fire pits.,Reasoning about comparative approximate quantities ('more than').,Numerical,Approximate Number Generation,15
An image of a cobblestone street with no bicycles riding on it.,A cobblestone street scene with zero bicycles visible.,Accurate depiction of zero quantity (absence of an entity).,Numerical,Approximate Number Generation,16
An image of a pottery workshop with some worktables and some clay spinning wheels. There are roughly twice as many spinning wheels as worktables.,The number of clay spinning wheels should be roughly double the number of worktables.,Approximate number comparison between two object types.,Numerical,Approximate Number Generation,17
