Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
There are two muffins and three-quarters of another muffin on the table.,Two whole muffins and one muffin missing a quarter portion.,Understanding partial quantities and composition of whole and fractional parts.,Numerical,Conceptual Quantitative,1
A ruler snapped into two equal pieces.,A straight ruler cleanly broken at the 6-inch mark.,Interpreting equal division of a standard object into two parts.,Numerical,Conceptual Quantitative,2
A pie sliced into eight pieces.,A pie divided into eighths.,Recognizing equal partitioning of a whole into eighths.,Numerical,Conceptual Quantitative,3
A loaf of bread divided into three equal parts.,A loaf cut into thirds.,Understanding division of a whole into three equal parts (thirds).,Numerical,Conceptual Quantitative,4
A pizza cut into six triangular slices.,A pizza divided into sixths.,Interpreting division of a circular object into six equal parts (sixths).,Numerical,Conceptual Quantitative,5
A cake sliced into seven equal portions.,A cake divided into sevenths.,Understanding division of a whole into seven equal parts (sevenths).,Numerical,Conceptual Quantitative,6
A carrot cut into six cylindrical pieces.,A carrot segmented into 6 equal cylindrical sections.,Understanding equal division of an object into six cylindrical parts.,Numerical,Conceptual Quantitative,7
A cucumber sliced into ten thin rounds.,A cucumber cut into 10 equally-thin circular pieces.,Recognizing equal partitioning into ten thin circular slices.,Numerical,Conceptual Quantitative,8
A cheese wheel divided into sixteen narrow wedges.,A circular cheese wheel cut into 16 equal wedge-shaped portions.,Interpreting equal division of a circular object into wedge-shaped pieces.,Numerical,Conceptual Quantitative,9
"There are 8 cups on the table, but one cup is shattered into four fragments.",7 intact cups and 1 cup broken into 4 ceramic pieces on a table.,Distinguishing between whole objects and fragmented parts.,Numerical,Conceptual Quantitative,10
A tomato cut into three uneven chunks.,A tomato divided into 3 irregularly sized pieces.,Identifying uneven partitioning of a whole object into unequal parts.,Numerical,Conceptual Quantitative,11
There are nine strawberries and three-quarters of another strawberry in the bowl.,9 whole strawberries and 3/4 of a strawberry in a bowl.,Recognizing whole items combined with a fractional part of another.,Numerical,Conceptual Quantitative,12
A chocolate bar split into six pieces.,A chocolate bar divided into six equal segments,Understanding division of a whole into six equal parts (sixths).,Numerical,Conceptual Quantitative,13
There are four sandwiches and three-quarters of another sandwich on the table.,4.75 sandwiches shown (four whole sandwiches + one 3/4 sandwich),Interpreting mixed quantities involving whole numbers and fractions.,Numerical,Conceptual Quantitative,14
A daikon radish sliced into eighths.,A daikon radish sliced into eighths.,Recognizing equal partitioning of a whole into eight parts (eighths).,Numerical,Conceptual Quantitative,15
There are five apples and two-fifths of another apple on the counter.,5.4 apples displayed (five whole apples + 0.4 apple portion),Understanding and combining whole and fractional parts in a mixed quantity.,Numerical,Conceptual Quantitative,16
"There are three erasers on the desk, but one is cut into three pieces.",Three whole erasers and one eraser divided into three fragments.,Reasoning about part-whole relationships when an object is divided into multiple pieces.,Numerical,Conceptual Quantitative,17
A baguette divided into five equal parts.,A baguette cut into five identical segments,Understanding division of a whole into five equal parts (fifths).,Numerical,Conceptual Quantitative,18
"There are 6 plates on the table, but two plates are each broken into three pieces.",Six plates total - four whole plates + two plates split into three parts each,Distinguishing between whole objects and those fragmented into parts.,Numerical,Conceptual Quantitative,19
A cheese wheel with one-fifth missing.,A cheese wheel showing 80% remaining portion and 20% missing,Recognizing fractional subtraction from a whole.,Numerical,Conceptual Quantitative,20
"There are three glasses on the table, but one glass is shattered into four fragments.",Three glasses: two intact and one broken into four pieces.,Identifying partial destruction of a single object within a set.,Numerical,Conceptual Quantitative,21
An egg cracked into two parts with the yolk visible in one half.,"An egg split into two halves, yolk visible in one portion.",Understanding division into halves and localized content visibility.,Numerical,Conceptual Quantitative,22
There are three bananas and a quarter of another banana in the basket.,Three whole bananas and 1/4 of a fourth banana in the basket.,Combining whole and fractional parts in quantity reasoning.,Numerical,Conceptual Quantitative,23
A sheet of paper folded into six equal sections.,A paper divided into six identical folded sections.,Recognizing equal partitioning through folding.,Numerical,Conceptual Quantitative,24
An image of a vase where one third is crimson and the remaining two-thirds are metallic gold.,An image of a vase where one third is crimson and the remaining two-thirds are metallic gold.,Understanding fractional division of an object into unequal colored parts (one-third vs. two-thirds).,Numerical,Conceptual Quantitative,25
There are three whole candles and half of another candle on the altar.,There are three whole candles and half of another candle on the altar.,Interpreting whole and fractional quantities within a set of objects.,Numerical,Conceptual Quantitative,26
A rectangular mirror split diagonally with one triangle turquoise and the other copper.,A rectangular mirror split diagonally with one triangle turquoise and the other copper.,Recognizing diagonal division of a shape into two colored triangular parts.,Numerical,Conceptual Quantitative,27
A decorative pillow divided into five diamond-shaped sections with different patterns.,A decorative pillow divided into five diamond-shaped sections with different patterns.,Understanding partitioning of a whole into multiple distinct geometric sections.,Numerical,Conceptual Quantitative,28
"There are four ceramic plates on the shelf, but one plate has shattered into three uneven pieces.","There are four ceramic plates on the shelf, but one plate has shattered into three uneven pieces.",Recognizing that a whole object can break into unequal parts while others remain whole.,Numerical,Conceptual Quantitative,29
Two complete bookmarks and three-quarters of another translucent bookmark on the desk.,Two complete bookmarks and three-quarters of another translucent bookmark on the desk.,Combining whole and fractional parts of a set of similar objects.,Numerical,Conceptual Quantitative,30
A gradient mug transitioning from forest green at the base to arctic white at the rim.,A gradient mug transitioning from forest green at the base to arctic white at the rim.,Interpreting gradual color transitions across an object's surface.,Numerical,Conceptual Quantitative,31
Three photo frames arranged with half of a fourth frame protruding from the edge of the shelf.,Three photo frames arranged with half of a fourth frame protruding from the edge of the shelf.,Identifying partial inclusion of an object relative to a group.,Numerical,Conceptual Quantitative,32
A silk scarf torn into four irregular parallelogram fragments.,A silk scarf torn into four irregular parallelogram fragments.,Understanding division of a whole into multiple irregular geometric parts.,Numerical,Conceptual Quantitative,33
"There are five keychains hanging on the rack, but one has broken into three plastic segments.","There are five keychains hanging on the rack, but one has broken into three plastic segments.",Distinguishing between intact and broken components within a set.,Numerical,Conceptual Quantitative,34
A succulent planter divided vertically into four different colored quadrants.,A succulent planter divided vertically into four different colored quadrants.,Recognizing division of an object into four distinct vertical quadrants.,Numerical,Conceptual Quantitative,35
A wall clock with alternating octagonal sectors of matte black and neon yellow.,A wall clock with alternating octagonal sectors of matte black and neon yellow.,Interpreting alternating patterned sectors with geometric and color attributes.,Numerical,Conceptual Quantitative,36
Four winter gloves displayed with three-quarters of a fifth glove partially buried in snow.,Four winter gloves displayed with three-quarters of a fifth glove partially buried in snow.,Recognizing fractional presence (three-quarters) of an object in a group context.,Numerical,Conceptual Quantitative,37
A doormat sliced into five trapezoidal sections arranged in radial pattern.,A doormat sliced into five trapezoidal sections arranged in radial pattern.,Understanding division of a whole into five geometric parts arranged radially.,Numerical,Conceptual Quantitative,38
