Prompt,Reference Caption,Category,Subcategory,id,Assessment Point
"Observation 1: Charred matchstick fragments near a firepit.
Observation 2: Neatly stacked dry twigs forming a teepee structure.
Task: Generate an image showing the definitive ignition source.","A hand striking a match to light the twig teepee, with unburnt match fragments visible at the base.",logical,Abductive,1,"The presence of charred matchstick fragments implies matches were used; the teepee of twigs suggests intentional ignition. Thus, a hand lighting a match directly explains both observations as the most plausible cause."
"Observation 1: Parallel skid marks ending at a dented lamppost.
Observation 2: Fallen bicycle helmet with cracked visor.
Task: Generate an image showing the cause of the lamppost damage.","A cyclist braking abruptly (skid marks) before colliding with the lamppost, helmet flying off upon impact.",logical,Abductive,2,"Skid marks ending at the lamppost indicate a sudden stop, and the broken helmet suggests a bike crash. A cyclist losing control and hitting the pole accounts for both outcomes."
"Observation 1: Smudged handprints on a window above muddy flower beds.
Observation 2: Streaks of dried mud leading indoors.
Task: Generate an image explaining the mud trail’s origin.","Someone climbing through the window after stepping in the flower bed, transferring mud from hands/feet to floor.",logical,Abductive,3,"Smudged prints and outdoor mud suggest an entry through the window; the indoor trail implies mud was brought inside, consistent with someone entering after stepping in soil."
"Observation 1: Empty cookie jar lid ajar on a high shelf.
Observation 2: Step stool positioned directly below the shelf.
Task: Generate an image showing how the jar was accessed.","A child standing on the stool reaching into the jar, crumbs falling as they remove the last cookie.",logical,Abductive,4,"The open jar and stool suggest someone used it to reach the jar. A child is a likely actor for cookie theft, explaining the use of the stool and missing contents."
"Observation 1: Smudged frosting on a cake’s side.
Observation 2: Cat fur stuck to the edge of the dessert table.
Task: Generate an image showing what ruined the cake’s appearance.","A cat jumping onto the table, paw swiping the cake’s side while fleeing, leaving fur and smeared frosting.",logical,Abductive,5,Frosting smudge and cat fur imply contact between the cake and a cat. A swiping action during a jump or escape explains both the damage and the fur left behind.
"Observation 1: A bicycle tire deflated with a small puncture.
Observation 2: A scattered line of metal tacks across the road.
Task: Generate an image showing the definitive reason for the flat tire.","A bicycle wheel rolling directly over sharp tacks embedded in pavement, with one tack piercing the tire tread.",logical,Abductive,6,The punctured tire and presence of tacks suggest causality; showing the wheel rolling over a tack provides a direct explanation linking the observations to the flat tire.
"Observation 1: A trail of sunflower seeds leads to a park bench.
Observation 2: Empty seed packet clutched in a squirrel’s paws.
Task: Generate an image showing the cause of the seed trail.","A squirrel dragging the torn packet along the ground, spilling seeds in a direct path toward its burrow under the bench.",logical,Abductive,7,The trail of seeds and squirrel with an empty packet imply it caused the trail. Dragging a torn packet explains both the path of seeds and their end location.
"Observation 1: Car seats soaked despite clear weather.
Observation 2: Wide-open sunroof with damp leaves inside.
Task: Generate an image showing the definitive cause of the interior damage.","Torrential rain pouring through the vehicle’s open sunroof during a sudden storm, drenching the seats, with storm clouds overhead.",logical,Abductive,8,The wet seats and open sunroof indicate past exposure to rain; showing a sudden storm explains the water damage despite current clear weather.
"Observation 1: A classroom whiteboard covered in championship-level algebra.
Observation 2: A 'Math Olympiad 1st Place' trophy beside identical equations in a student’s notebook.
Task: Generate an image showing the cause of the trophy’s presence.","A student writing the final equation on the board, triumphant smile on their face, notebook and trophy aligned to show matching solutions.",logical,Abductive,9,The trophy and matching algebra suggest the student won via solving the equations; showing them solving the problem links their work to the achievement.
"Observation 1: Wet paw prints trail from an empty food bowl.
Observation 2: A tipped-over water dish nearby.
Task: Generate an image showing the definitive cause of the empty bowl.","A dog drinking from the water dish while stepping in it, splashing water to create paw prints, with its nose nudging the food bowl aside.",logical,Abductive,10,The paw prints and overturned water bowl suggest the dog’s recent activity; the image explains the chain of events that created both observations.
