Prompt,Reference Caption,Category,Subcategory,Assessment Point,id
"If 2 × 2 = 5, then generate an image of 2 × 2 birds.",5 birds.,logical,Hypothetical,"The model needs to correctly infer that under the given condition, 2 × 2 birds equals 5 birds.",1
"If a shadow is rainbow-colored, then draw a person standing in sunlight.",A person stands in sunlight with a rainbow-colored shadow.,logical,Hypothetical,"The model needs to correctly infer that a person standing in sunlight casts a shadow, and the shadow is rainbow-colored.",2
"If all vehicles turn into boats when it rains, then generate an image of a street with cars on a rainy day.","It's raining, and the street is filled with boats instead of cars.",logical,Hypothetical,"The model needs to correctly infer that when it rains, all cars turn into boats, so the street only has boats, not cars.",3
"If gravity pushed objects away from Earth, draw a tree growing in this environment.",An inverted tree with roots extending upward and branches pointing downward.,logical,Hypothetical,The model needs to correctly infer that reversed gravity would cause trees to grow inverted - roots reaching upward for stability and branches growing downward.,4
"If raindrops instantly transformed into flowers upon hitting the ground, illustrate a city during rainfall.",A downpour where flowers bloom in place of water puddles on roads and rooftops.,logical,Hypothetical,"The model needs to correctly infer that precipitation would result in floral accumulation rather than liquid water, with flowers appearing wherever raindrops land.",5
"If all clocks melted at 2 PM daily, show a classroom clock at 2:15 PM.","A melted timepiece dripping down a wall, with distorted numbers around the 2 PM position.",logical,Hypothetical,"The model needs to correctly infer that after the 2 PM melting event, clocks would remain in a liquified state rather than displaying current time.",6
"If human shadows could be folded like paper, depict a child playing with their shadow.","A child holding a crisp, origami-like folded shadow detached from their body.",logical,Hypothetical,The model needs to correctly infer that pliable shadows could be physically manipulated and separated from their owners while maintaining defined edges.,7
"If dogs communicated through glowing text bubbles, show a pack of dogs at night.",Dogs with 'Woof!      ' texts glowing in neon-style bubbles above their heads in darkness.,logical,Hypothetical,The model needs to correctly infer that canine vocalizations would manifest as illuminated textual displays visible in low-light conditions.,8
"If the moon turned into a giant flower during a full moon, then generate a night sky.","A night sky where a large, glowing flower replaces the moon, illuminating the surroundings.",logical,Hypothetical,"The model needs to correctly infer that during a full moon, the moon is replaced by a glowing flower that illuminates the night sky.",9
"If every tree became transparent when touched by rain, then generate a forest during a light rain.","A forest where trees are see-through, with raindrops visible falling through their transparent trunks.",logical,Hypothetical,"The model needs to correctly infer that rain causes trees to become transparent, with visible raindrops passing through their now-see-through trunks.",10
"If the ground turned into clouds when people walked on it, then generate a park filled with people walking.","A park where people’s footsteps form clouds beneath them as they walk, and the ground appears soft and fluffy like a cloud.",logical,Hypothetical,"The model needs to correctly infer that walking transforms the ground into localized clouds under each footstep, creating a soft, cloud-like surface.",11
"If every time a person smiles, their shoes turn into fruit, then generate a person smiling while wearing shoes.","A person with a wide smile, and their shoes transformed into vibrant fruits, such as apples or bananas.",logical,Hypothetical,The model needs to correctly infer that the act of smiling directly transforms the person's shoes into recognizable fruits while maintaining their footwear shape.,12
"If the sun was a giant clock, then show a sunrise.","A sunrise where the sun looks like a large, glowing clock, with its hands indicating early morning hours.",logical,Hypothetical,"The model needs to correctly infer that the sun should resemble a functional clock with visible hands, positioned to reflect the time of sunrise (early morning).",13
"If animals could write books, then generate a library with various animals.","A library where animals like elephants, cats, and monkeys are sitting with their own books open, as though they authored them.",logical,Hypothetical,"The model needs to correctly infer that if animals wrote books, they would both author and read their own works, requiring animals to be depicted as both writers and readers in a library setting.",14
"If trees could walk and carry backpacks, show a forest during a hike.","A forest scene where trees have legs and are walking with backpacks, as if they are on a hiking adventure.",logical,Hypothetical,"The model needs to correctly infer that trees under this condition would exhibit human-like hiking behavior, including legs for movement and backpacks as accessories, integrated naturally into a forest environment.",15
"If clouds were made of cotton candy, then generate a sunset with cotton candy clouds.","A vibrant sunset where the clouds are fluffy and pink, resembling cotton candy, giving a soft, sugary look to the sky.",logical,Hypothetical,"The model needs to correctly infer that cloud structures should maintain their form while adopting the visual properties of cotton candy (fluffy texture, pink hue) within a sunset context.",16
"If gravity reversed at night, then show a city street at night.","A city street where cars, buildings, and streetlights are floating above the ground, as gravity has reversed during the night.",logical,Hypothetical,"The model needs to correctly infer that reversed gravity would cause objects to levitate upwards rather than remain grounded, while maintaining nighttime lighting and urban elements.",17
"If the ocean turned into jelly, then generate a beach.","A beach scene with a jelly-like ocean, possibly with people interacting with the wobbly substance, using it to surf or play.",logical,Hypothetical,"The model needs to correctly infer that the ocean's liquid water would be replaced by a semi-solid jelly material, requiring visual cues of texture (wobbliness) and human interaction unique to this substance.",18
"If mirrors reflected alternate realities, then generate a room with multiple mirrors.","A room with several mirrors, each reflecting a different version of the same person, perhaps in different outfits or actions.",logical,Hypothetical,"The model needs to correctly infer that each mirror reflects an alternate reality, showing distinct variations of the same person in every mirror.",19
"If houses turned into trees at night, then generate a suburban neighborhood at night.","A neighborhood with houses that are transformed into trees, their roots replacing the foundations while leaves and branches take over the roofs.",logical,Hypothetical,"The model needs to correctly infer that at night, houses morph into trees, with structural elements like roots and branches replacing traditional house features.",20
"If the sun turned into a giant lemon, then generate a sunny day.","A bright sunny day with a large, lemon-shaped sun hanging in the sky, casting lemon-colored light on everything below.",logical,Hypothetical,"The model needs to correctly infer that the sun is replaced by a lemon-shaped object, emitting lemon-tinted light instead of typical sunlight.",21
"If trees shed leaves in summer instead of autumn, show a forest landscape in July.",Trees actively dropping leaves onto sunny summer terrain.,logical,Hypothetical,"The model needs to correctly infer that trees lose leaves during summer, depicting green trees shedding foliage onto a sunny landscape rather than autumnal settings.",22
"If sunlight only illuminated shadows, illustrate a park at midday.","Bright shadow areas while non-shadow regions are dark, creating reversed lighting.",logical,Hypothetical,"The model needs to correctly infer that light exclusively brightens shadowed areas, resulting in inverted illumination where shadows are vivid and non-shaded zones are dark.",23
"If all mirrors reflected the past instead of the present, generate a woman looking into a handheld mirror.","Mirror shows the woman's teenage self, contrasting with her current appearance.",logical,Hypothetical,The model needs to correctly infer that the mirror should reflect the woman's past appearance (teenage self) rather than her current visage.,24
"If the moon emitted sunlight-level brightness, show a nighttime campsite.",Pitch-black sky with a moon illuminating the scene as clearly as midday.,logical,Hypothetical,The model needs to reconcile the nighttime setting with a moon providing daylight-equivalent illumination while maintaining a dark sky.,25
"If heat made food turn blue, display a chef cooking steak on a grill.",Raw red meat gradually shifting to bright blue as it cooks.,logical,Hypothetical,The model needs to demonstrate the causal relationship between heat application and color transformation from natural meat tones to blue.,26
"If stars only appeared at noon, show a desert landscape at noon.","Bright sky with visible constellations, intense sunlight competing with starlight.",logical,Hypothetical,The model needs to combine paradoxical elements of midday sun brightness with clearly visible stars/constellations in the same sky.,27
"If memories glowed in the dark, show an elderly person recalling childhood.","Faint light emanating from the person's head, forming vague glowing shapes of past events.",logical,Hypothetical,The model needs to physically manifest abstract memories as luminous visual elements emerging from the person during recollection.,28
"If the elderly turned into their younger selves during the day, show a nursing home during the day.","A group of young people in a nursing home, interacting with caretakers and engaging in various activities.",logical,Hypothetical,"The model needs to recognize that elderly residents would appear as young people during daylight hours, while maintaining the nursing home environment and activities.",29
"If loud sounds turned objects red within a 10-meter radius, illustrate a rock concert.",Gradual red coloration spreading across instruments and stage equipment near speakers.,logical,Hypothetical,"The model must understand that loud concert speakers would cause nearby objects to progressively turn red, with intensity decreasing with distance from sound sources.",30
"If human hands turned into fish when submerged in water, show someone washing dishes.",Forearms ending in flopping fish tails instead of hands while submerged in soapy water.,logical,Hypothetical,"The model needs to depict the temporary transformation of hands into fish only when underwater, maintaining human forearms above the water surface during dishwashing.",31
"If darkness emitted bright light, depict a cave at night.","Pitch-black cave walls glowing intensely, casting sharp shadows outward from dark surfaces.",logical,Hypothetical,"The model must paradoxically combine darkness and illumination by showing shadowy areas as light sources, reversing normal light/shadow relationships.",32
"If clouds rained coffee instead of water, illustrate a cloudy day.","Dark clouds pouring steaming coffee, people holding mugs to catch raindrops, brown 'coffee puddles' on streets.",logical,Hypothetical,"The model should replace all water-based rain elements with coffee equivalents, including steam effects, liquid color changes, and human interactions with coffee rain.",33
"If trees grew miniature volcanoes instead of fruit, depict an orchard.","Trees with small erupting volcanoes on branches, smoke plumes rising among leaves.",logical,Hypothetical,"The model needs to correctly infer that fruit is replaced by actively erupting miniature volcanoes on tree branches, including smoke effects.",34
