Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A person's reaction to losing a competition.,The person is disappointed and sad.,Losing a competition typically leads to feelings of disappointment and sadness as the individual feels they did not meet their goal or expectations.,Commonsense,Emotion Intention Commonsense,1
A child's reaction to her parent taking her toys away.,The child is angry and upset.,"Children often form strong emotional attachments to their toys, and having them taken away can cause frustration and anger due to the loss of something they value.",Commonsense,Emotion Intention Commonsense,2
A person's reaction to losing a job.,The person is upset and worried.,"Losing a job typically triggers feelings of upset and worry, as it brings about uncertainty about future financial stability and well-being.",Commonsense,Emotion Intention Commonsense,3
A person's reaction to getting promoted.,The person is happy and elated.,"Getting promoted is often seen as a positive achievement, leading to feelings of happiness and elation due to the recognition of one's hard work.",Commonsense,Emotion Intention Commonsense,4
A girl's face when she is scolded.,The girl is angry and upset.,"Being scolded can provoke negative emotions in children, such as anger and upset, because they feel criticized or misunderstood.",Commonsense,Emotion Intention Commonsense,5
A child's reaction to getting a new toy,The child is excited and happy.,"Children often display clear signs of excitement and happiness when receiving new toys, such as wide smiles, bright eyes, and energetic movements. These emotional responses are typical when they experience joy and pleasure from a gift.",Commonsense,Emotion Intention Commonsense,6
"A baker pulls a tray of charred, smoking cookies from the oven while wearing oven mitts. The image should convey their reaction.","A baker frowns deeply, shoulders slumping, as they stare at a tray of burnt cookies fresh from the oven.","The baker’s reaction is Reference Caption to be one of disappointment and frustration due to the burnt cookies, as their body language—slumped shoulders and frown—clearly reflects negative emotions related to failure or mistakes in their work.",Commonsense,Emotion Intention Commonsense,7
"A runner crosses a marathon finish line first, breaking the ribbon with their chest. The image should capture their expression.","A runner raises both arms triumphantly, mouth open in a shout of exhilaration, as they cross the finish line.","Crossing the finish line first in a marathon typically brings feelings of victory and pride. The runner's posture and facial expression of triumph, such as raised arms and a joyful shout, align with the excitement and exhilaration associated with winning.",Commonsense,Emotion Intention Commonsense,8
"A person watches a horror movie on TV, knees pulled to their chest, with popcorn spilled on the floor. The image should capture their expression.","The person’s hands cover half their face, eyes wide and unblinking, frozen in fear at the screen.","When watching a horror movie, people often experience fear, which is visually expressed through wide eyes, hands over the face, and frozen or tense body language. These reactions are common when one is frightened or shocked by a scary scene.",Commonsense,Emotion Intention Commonsense,9
"A person stands at a bus stop under heavy rain, glancing repeatedly at their wrist. The image should include their facial expression.","A person at a bus stop frowns while clutching a soaked umbrella, eyebrows furrowed and lips pressed tightly as they stare at their watch.","The frown and body language of frustration or impatience are indicative of the person's negative emotions, likely due to being caught in the rain and waiting for a bus. The furrowed brows and tightly pressed lips convey irritation or concern over the delay.",Commonsense,Emotion Intention Commonsense,10
