Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
Draw three concentric circles with radii in 1:2:3 ratio. Connect their north-south-east-west points with straight lines.,Three perfectly centered circles with proportional radii. Cardinal direction points connected by four cross lines (vertical and horizontal) passing through all circle sets.,"['Shared center point for all circles', 'Exact 1:2:3 radius proportions', 'Four straight lines through cardinal directions', 'Lines pass through corresponding points on all circles', 'Symmetrical appearance in all quadrants']",Symbolic Mathematical,Spatial Reasoning,1
Construct a golden rectangle with its diagonal and accompanying spiral. Show the successive squares that form the spiral.,"A rectangle with aspect ratio 1:1.618 containing a logarithmic spiral. Nested squares decrease by golden ratio at each quarter-turn, with spiral curve connecting square corners.","['Correct golden ratio proportions (approximately 1:1.618)', 'Clearly decreasing square sizes maintaining ratio', 'Continuous logarithmic spiral pattern', 'Diagonal line from initial rectangle', 'Accurate 90° rotation between successive squares']",Symbolic Mathematical,Spatial Reasoning,2
Draw two congruent circles overlapping to form a vesica piscis. Mark the overlapping area and show the line through both centers.,"Two identical circles intersecting such that each center lies on the other's circumference. The lens-shaped intersection is shaded, with a line connecting both centers bisecting the overlapping area.","['Equal circle radii', 'Center-to-center distance equal to radius length', 'Distinct shading/coloring of overlapping region', 'Central line connecting both circle centers', 'Symmetrical vesica piscis shape formation']",Symbolic Mathematical,Spatial Reasoning,3
Create asymmetric shape 'F' with its mirror reflection across vertical axis. Mark symmetry line and matching proportions.,"Original 'F' left of vertical line, mirrored 'F' right. Identical size/shape with horizontal flip. Equal distances from symmetry line.","['Vertical symmetry line clearly marked', 'Mirror image shows proper left-right reversal', 'Equal vertical proportions in both shapes', 'Consistent spacing from shapes to axis', 'No rotational similarity between originals']",Symbolic Mathematical,Spatial Reasoning,4
Draw a right-angled triangle inscribed in a circle with the hypotenuse as the diameter. Highlight the right angle at the circumference.,"Circle containing triangle where hypotenuse matches diameter. Right angle vertex touches circumference opposite diameter, marked with square symbol.","['Hypotenuse coincides with circle diameter', 'Right angle positioned on circumference', 'All triangle vertices lie on circle', 'Clear right angle symbol (∟)', 'Diameter length equals 2×radius']",Symbolic Mathematical,Spatial Reasoning,5
"Create a circle with radius OA. Draw tangent line BC touching the circle only at point A, with radius OA perpendicular to BC.","Circle with center O, radius OA extending to perimeter point A. Tangent BC touches exclusively at A, forming 90° angle with OA. No other intersections present.","['Single tangent contact point at A', 'OA ⊥ BC verified by right angle marking', ""Tangent line doesn't penetrate circle"", 'Clear differentiation between radius and tangent line', 'Accurate 90° angle formation at contact point']",Symbolic Mathematical,Spatial Reasoning,6
Construct an equilateral triangle with medians connecting each vertex to opposite side midpoints. Mark centroid where medians intersect.,Equilateral triangle with three medians. All medians intersect at central centroid point. Each median divided into 2:1 ratio segments from vertex to centroid.,"['Medians connect vertices to exact midpoints of opposite sides', 'All three medians intersect at single centroid point', 'Visual indication of 2:1 length ratio on at least one median', 'Equal distance from centroid to all sides', 'Maintained equilateral proportions throughout']",Symbolic Mathematical,Spatial Reasoning,7
Draw quadrilateral ABCD and its reflection A'B'C'D' across vertical line X. Use dashed lines for reflected shape.,"Original solid-line quadrilateral on left/right of vertical line X. Mirrored dashed-line quadrilateral opposite, maintaining equal distances from X. Corresponding vertices aligned horizontally.","['Vertical reflection line X clearly marked', 'Reflected quadrilateral uses dashed styling', 'Corresponding vertices equidistant from X', ""Horizontal alignment between A-A', B-B', etc."", 'Preserved angles and side lengths in reflection']",Symbolic Mathematical,Spatial Reasoning,8
Render a cube with visible space diagonal connecting vertex A to opposite vertex G through the cube's interior.,3D cube representation with highlighted diagonal passing through interior from front-top-right to back-bottom-left vertex (or equivalent). Orthogonal edges show proper perspective.,"['Diagonal connects non-adjacent vertices through cube center', 'Maintenance of right angles at visible vertices', 'Proper depth perception in cube rendering', ""Diagonal doesn't align with any edge or face diagonal"", 'Clear differentiation between space diagonal and edges']",Symbolic Mathematical,Spatial Reasoning,9
"Plot points at (0,0) and (6,8) on coordinate grid. Draw connecting line segment and mark its midpoint.","Cartesian grid with points at origin and (6,8). Straight line connects points. Midpoint clearly labeled at (3,4).","['Accurate placement of both endpoints', 'Straight line connection without curvature', 'Correct midpoint coordinates (3,4)', 'Equal distance verification from midpoint to both ends', 'Proper axis scaling showing proportional 6:8 relationship']",Symbolic Mathematical,Spatial Reasoning,10
"Draw an equilateral triangle and its reflection across a vertical line. Label corresponding vertices with prime notation (e.g., A and A').","Original triangle on one side of vertical axis, mirrored version on the other. All corresponding vertices equally distant from axis with matching labels.","['Verify vertical axis remains equidistant from corresponding vertices', 'Confirm congruent triangle dimensions', 'Check proper prime notation labeling', 'Validate maintenance of angle measures', 'Ensure reflection preserves orientation reversal']",Symbolic Mathematical,Spatial Reasoning,11
"Create a circle with center O. Draw tangent line XY touching the circle at point P, with radius OP perpendicular to XY.","Circle with visible center, tangent contacting at single point P. Radius OP forms 90° angle with tangent line.","['Confirm single point contact between tangent and circle', 'Verify right angle at tangent-radius intersection', 'Check clear labeling of center O and contact point P', 'Validate tangent continues infinitely beyond contact point', 'Ensure radius length matches circle dimensions']",Symbolic Mathematical,Spatial Reasoning,12
Draw two congruent right triangles where one is rotated 180° relative to the other. Mark corresponding sides and angles as equal.,Identical right triangles in opposite orientations. Matching sides/angles marked with identical symbols.,"['Confirm equal hypotenuse lengths', 'Verify 180° rotation relationship', 'Check consistent congruence markings', 'Validate preservation of right angles', 'Ensure proportional leg lengths match']",Symbolic Mathematical,Spatial Reasoning,13
Draw a cube with one space diagonal connecting opposite vertices through its interior. Highlight this diagonal in red.,3D cube representation with red line connecting vertices through empty space. Diagonal should pass through cube's center.,"['Confirm diagonal connects non-adjacent vertices', 'Verify diagonal passes through cube center', 'Check proper 3D perspective representation', 'Validate color differentiation of diagonal', 'Ensure equal diagonal lengths in proportional cube']",Symbolic Mathematical,Spatial Reasoning,14
"Plot coordinates (0,0), (5,0), (5,3), and (0,3) to form a rectangle. Label the length and width with measurements.","Axis-aligned rectangle with labeled sides: length=5 units, width=3 units. All right angles visible.","['Verify accurate coordinate placement', 'Confirm parallel sides match axis directions', 'Check correct numerical labeling of dimensions', 'Validate four 90° angles', 'Ensure proper vertex connectivity']",Symbolic Mathematical,Spatial Reasoning,15
Draw three concentric circles with radii ratio 1:2:3. Label each circle with its respective radius length.,"Three circles sharing center point, progressively larger. Clear labels: r, 2r, 3r displayed.","['Confirm common center point', 'Verify proportional spacing between circles', 'Check radial labels match size progression', 'Validate circular perfection in all rings', 'Ensure visibility of all three circles']",Symbolic Mathematical,Spatial Reasoning,16
