Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
"Rotate vector \( \mathbf{v} = (1.5, 2.3, -0.8) \) 90° around z-axis in 3D space. Show original and rotated vectors.","Rotated vector \( \approx (-2.3, 1.5, -0.8) \).
Right-hand rule demonstrated with z-axis rotation.","['Clear distinction between original and rotated vectors', 'Proper rotation direction following right-hand rule', 'Correct z-axis orientation preservation', 'Approximate coordinates matching (-2.3, 1.5) in XY-plane', 'Identical z-component before/after rotation', 'Axes labels showing 3D coordinate system']",Symbolic Mathematical,Vector Matrix Visualization,1
"Apply affine transformation (scale by (2,0.5) then translate by (3,-1)) to triangle (0,0), (2,0), (0,1).","Transformed vertices at (3,-1), (7,-1), (3,-0.5).
Simultaneous scaling and translation shown.","['Original and transformed triangles both visible', 'Correct horizontal scaling (2×) and vertical scaling (0.5×)', 'Proper translation application after scaling', 'Accurate final vertex positions', 'Visual distinction between transformation stages', 'Labels showing coordinate values at vertices']",Symbolic Mathematical,Vector Matrix Visualization,2
Visualize matrix \( M = \begin{bmatrix} 2 & 0 \ 0 & 1.5 \end{bmatrix} \) acting on unit square. Show area change.,"Transformed area = 3.0 (original 1.0).
Uniform horizontal stretching and vertical expansion shown.","['Unit square clearly shown before transformation', 'Horizontal stretching by factor of 2', 'Vertical expansion by factor of 1.5', 'Area calculation displayed (1.0 → 3.0)', 'Axis-aligned transformation maintained', 'Grid lines showing proportional scaling']",Symbolic Mathematical,Vector Matrix Visualization,3
"Find orthogonal projection of \( \mathbf{v} = (4.1, 2.8) \) onto \( \mathbf{u} = (1.5, -1.2) \). Show components.","Projection vector \( \approx (3.09, -2.47) \).
Right triangle formed with original vector visible.","['Original vector and projection vector shown', 'Right angle between projection and residual vector', 'Vector components properly labeled', 'Accurate projection direction along \\mathbf{u}', 'Coordinate system with clear scale markings', 'Visual representation of vector decomposition']",Symbolic Mathematical,Vector Matrix Visualization,4
Transform circle \( x^2 + y^2 = 4 \) using matrix \( M = \begin{bmatrix} 1 & 2 \ 3 & -1 \end{bmatrix} \). Show pre/post shapes.,"Ellipse formed with orientation change (det(M) = -7).
Original area \( 4π \) becomes \( 28π \) (area scaling by |det|).","['Original circle and transformed ellipse both visible', 'Ellipse orientation matching matrix characteristics', 'Area change indication (4π → 28π)', 'Non-uniform axes scaling visible', 'Preservation of connectedness/smoothness', 'Coordinate grid showing deformation pattern']",Symbolic Mathematical,Vector Matrix Visualization,5
Visualize matrix \( M = \begin{bmatrix} \cos30° & -\sin30° \ \sin30° & \cos30° \end{bmatrix} \) acting on unit circle.,"Rotated circle maintaining shape (pure rotation).
Grid lines rotated by 30° with preserved distances.","['Circle remains perfectly circular (no deformation)', '30° counterclockwise rotation from original position', 'Grid lines maintain equal spacing and right angles after rotation', 'No scaling or shearing effects visible', 'Clear visual distinction between original and transformed elements']",Symbolic Mathematical,Vector Matrix Visualization,6
"Transform vector \( \mathbf{v} = (2.4, -1.2) \) using composition: rotate 45° then apply shear \( \begin{bmatrix} 1 & 0.5 \ 0 & 1 \end{bmatrix} \).","Final vector \( \approx (2.91, 0.42) \).
Combined rotation and shearing effects demonstrated.","['Correct application order: rotation first then shear', 'Final vector position matches coordinates (2.91, 0.42)', 'Visible parallelogram distortion from shearing', 'Rotation evident in angular position relative to axes', 'Combined transformation maintains linearity (straight lines remain straight)']",Symbolic Mathematical,Vector Matrix Visualization,7
Compute eigenvalues/eigenvectors for \( M = \begin{bmatrix} 3 & 1 \ 1 & 3 \end{bmatrix} \). Show principal directions.,"Eigenvectors (1,1) scaled ×4 and (1,-1) scaled ×2.
Diagonal stretching along y=x and y=-x shown.","['Distinct stretching factors (4:1 ratio along y=x, 2:1 along y=-x)', 'Principal axes aligned at 45° and 135° to coordinate system', 'Original grid lines deformed to diamond shape', 'Eigenvectors remain on same line after transformation', 'Clear labeling/indication of stretching factors']",Symbolic Mathematical,Vector Matrix Visualization,8
"Perform Gram-Schmidt on vectors \( \mathbf{v_1} = (3,1) \), \( \mathbf{v_2} = (2,2) \). Display orthogonal basis.","Orthogonal vectors \( \approx (3,1) \) and \( \approx (-0.4,1.2) \).
Perpendicular arrows with preserved span shown.","['Second vector (-0.4,1.2) orthogonal to first (3,1)', 'Original parallelogram and orthogonal basis span same area', 'Right angle visible between basis vectors', 'No component of second vector in direction of first', 'Clear visual comparison between original and orthogonalized vectors']",Symbolic Mathematical,Vector Matrix Visualization,9
"Decompose \( \mathbf{v} = (5.2, 3.1) \) into parallel/perpendicular components relative to \( \mathbf{u} = (2.4, 0.7) \).","Components: parallel \( \approx (4.39, 1.28) \), perpendicular \( \approx (0.81, 1.82) \).
Vector parallelogram visualization.","['Parallel component aligns perfectly with reference vector u', 'Perpendicular component forms right angle with u', 'Vector sum forms perfect parallelogram', ""Components maintain original vector's magnitude when combined"", 'Clear color/text differentiation between components and resultant']",Symbolic Mathematical,Vector Matrix Visualization,10
