Prompt,Reference Caption,Category,Subcategory,id,Assessment Point
Rotate a square 90° clockwise around its top-right corner. Show original and transformed positions.,"Two squares sharing the top-right corner. The rotated square extends downward from the anchor point with identical dimensions, maintaining perpendicular adjacent sides.",Symbolic Mathematical,Geometrical Transformations,1,"Precise 90° clockwise rotation about specified corner', 'Fixed anchor point position', 'Maintained side lengths and right angles', 'No compression/stretching artifacts', 'Correct spatial relationship between pre/post-rotation sides'"
Apply vertical shear (factor=0.5) to an equilateral triangle. Display original and transformed shapes.,"Original triangle and a sheared version where the apex is displaced horizontally by half the height. Base remains fixed, creating a skewed triangular prism shape.",Symbolic Mathematical,Geometrical Transformations,2,"Vertical displacement proportional to shear factor', 'Fixed base vertices', 'Preserved base length and height', 'Correct angular deformation in sheared figure', 'Linear transformation characteristics (straight lines remain straight)'"
Perform spiral similarity on a hexagon: rotate 30° counter-clockwise and scale 1.5× from center. Show both states.,"Original hexagon and transformed version showing increased size (1.5×), rotated orientation (30° CCW), with preserved shape and center point alignment.",Symbolic Mathematical,Geometrical Transformations,3,"Accurate angular displacement from center', 'Uniform radial scaling in all directions', 'Maintained regular hexagon properties', 'Simultaneous application of transformations', 'Conserved center position throughout'"
Reflect a right circular cone across the y-z plane and show 3D comparison. Include projection shadows on all coordinate planes.,"Mirror-image cones with inverted x-coordinates, accompanied by matching elliptical projections on y-z, x-z, and x-y planes demonstrating reflection symmetry.",Symbolic Mathematical,Geometrical Transformations,4,"Perfect spatial mirroring across y-z plane', 'Conserved cone dimensions (height/base radius)', 'Symmetric shadow projections on all planes', 'Preserved apex angle in reflection', 'Correct coordinate inversion in projections'"
"Create transformation sequence: translate a rhombus 3 units down, then apply horizontal dilation (2×) from bottom vertex. Show all stages.","Original rhombus', 'Vertically translated rhombus (3 units downward)', 'Final shape: horizontally stretched from new bottom vertex position', 'Verification of transformation order preservation'",Symbolic Mathematical,Geometrical Transformations,5,"Pure vertical translation first', 'Correct dilation origin (translated bottom vertex)', 'Horizontal scaling only in x-axis', 'Maintained rhombus angle consistency', 'Clear visual progression through stages'"
Demonstrate a 180-degree rotation of a 7-pointed star polygon about its geometric center. Display both original and rotated positions.,"The rotated star coincides exactly with the original, demonstrating rotational symmetry. All points and angles remain unchanged, with perfect alignment when superimposed.",Symbolic Mathematical,Geometrical Transformations,6,"Exact 180-degree rotation around the center', 'Complete overlap when superimposed', 'No scaling or distortion during rotation', 'Geometric center remains fixed', 'Preservation of all star points and angles'"
Illustrate the reflection of a cube across the yz-plane. Show both original and reflected cubes in 3D space.,Two cubes are displayed: the original and its mirror image across the yz-plane. Corresponding vertices show inverted x-coordinates while y and z coordinates remain unchanged.,Symbolic Mathematical,Geometrical Transformations,7,"Correct reflection across yz-plane (x-axis inversion)', 'Equal dimensions and angles in both cubes', 'No rotational component introduced', 'Accurate vertex correspondence', 'Proper 3D spatial representation'"
Scale a Sierpiński triangle from its bottom vertex by a factor of 2. Show original and scaled versions.,"The transformed Sierpiński triangle is twice as large as the original, with all points expanded outward from the bottom vertex. The fractal detail is preserved proportionally.",Symbolic Mathematical,Geometrical Transformations,8,"Consistent 2x scaling factor from specified vertex', 'Fractal pattern integrity maintained', 'No compression or skewing during scaling', 'Bottom vertex remains fixed in position', 'Uniform expansion in all directions from origin point'"
Apply a horizontal shear transformation with factor 1.5 to a rectangle. Display pre-shear and post-shear shapes.,"The sheared rectangle becomes a parallelogram, with horizontal displacement proportional to vertical position. Vertical sides remain parallel but angled, while horizontal sides maintain their length.",Symbolic Mathematical,Geometrical Transformations,9,"Correct horizontal displacement based on shear factor', 'Preservation of vertical side lengths', 'Transformation into parallelogram without rotation', 'Proportional shear effect across all points', 'No vertical scaling or compression'"
"First rotate a pentagon 90 degrees clockwise about its center, then scale it by 0.6. Show each transformation stage.","The final image shows the original pentagon, rotated pentagon, and scaled-rotated pentagon. The scaling is applied after rotation, maintaining orientation relative to the rotated position.",Symbolic Mathematical,Geometrical Transformations,10,"Correct order: rotation before scaling', 'Accurate 90-degree clockwise rotation', 'Uniform scaling from center point', 'Preserved shape integrity through both transformations', 'Clear visual distinction between stages'"
Demonstrate 72° rotational symmetry of a regular pentagon about one of its vertices. Show original and 3 rotated positions.,"A regular pentagon with four instances: original + three rotations (72°, 144°, 216°) around a marked vertex. All figures should perfectly overlap when rotated.",Symbolic Mathematical,Geometrical Transformations,11,"Exact 72° angular increments between positions', 'Fixed rotational center at specified vertex', 'Maintained congruence across all rotations', 'Accumulative rotation matching symmetry order', 'No translational displacement during rotation'"
Apply 30° horizontal shear transformation to a rectangle with aspect ratio 2:1. Show pre/post deformation states.,"Original rectangle and transformed parallelogram with preserved vertical sides, horizontal sides slanted at 30°. Base dimensions maintained along y-axis.",Symbolic Mathematical,Geometrical Transformations,12,"Vertical sides remain unchanged', 'Horizontal shear angle precisely 30°', 'Original height preserved', 'Area increase proportional to shear factor', 'Parallelism maintained in deformed shape'"
Perform radial dilation (scale factor 1.5) of a 5-point star from a point 2 units outside its geometric center.,Original star and enlarged version where all vertices are 1.5x farther from the external scaling center. Scaling vectors visible as radial lines.,Symbolic Mathematical,Geometrical Transformations,13,"Consistent scaling factor from specified origin', 'Radial alignment between corresponding points', 'Preserved star angles and proportions', 'Measurable 1.5x distance increase', 'No rotational component introduced'"
"Illustrate glide reflections generating a wallpaper pattern: Start with asymmetric motif, show two perpendicular glide reflection axes.",Infinite repeating pattern with motifs reflected across both horizontal and vertical glide axes. Pattern shows translational symmetry in both directions.,Symbolic Mathematical,Geometrical Transformations,14,"Consistent glide reflection distances', 'Orthogonal symmetry axes', 'No rotational symmetry conflicts', 'Seamless tiling in all directions', 'Asymmetric fundamental domain preservation'"
Transform a right triangle: 1) Rotate 90° counterclockwise about hypotenuse midpoint 2) Apply vertical reflection 3) Translate 5 units NE. Show final composite image.,Final transformed triangle should exhibit combined rotation-reflection-translation. Original hypotenuse midpoint remains rotationally fixed before translation.,Symbolic Mathematical,Geometrical Transformations,15,"Correct rotation about non-standard center', 'Reflection axis aligned with global vertical', 'Precise 45° diagonal translation', 'Order-dependent outcome preservation', 'Geometric congruence modulo transformations'"
Scale a regular hexagon by 1.5x from its top vertex. Show original and transformed shapes with scaling reference lines.,Two hexagons displayed: original regular hexagon and scaled version where all points except the top vertex are proportionally expanded outward. Reference lines connect corresponding vertices through the scaling center.,Symbolic Mathematical,Geometrical Transformations,16,"Fixed top vertex position', 'Proportional distance increase (1.5x) from scaling center', 'Preserved internal angles (120°)', 'Consistent scaling in all radial directions', 'Visible reference lines demonstrating scaling vectors'"
Apply 45° horizontal shear to a square with fixed base. Display pre/post-transformation with deformation grid.,Original square and transformed parallelogram where upper vertices shift horizontally by height×tan(45°). Grid lines show parallel shear deformation.,Symbolic Mathematical,Geometrical Transformations,17,"Unchanged base length', 'Upper vertex horizontal displacement equals original height', 'Resulting 45° parallelogram angles', 'Preserved area (base×height unchanged)', 'Grid lines maintain vertical spacing'"
"Rotate a 3D tetrahedron 180° around its vertical axis, then project orthogonally onto the xz-plane. Show 3D and projection views.","Two-part visualization: rotated tetrahedron with inverted face orientations, and matching xz-projection showing inverted vertex positions from original projection.",Symbolic Mathematical,Geometrical Transformations,18,"Vertex permutation matching 180° rotation', 'Projection shows coordinate inversion in x-axis', 'Hidden line consistency in rotated 3D view', 'Preserved edge lengths in projection', 'Simultaneous display of rotation and projection effects'"
Perform spiral transformation: rotate equilateral triangle 60° clockwise while scaling 0.7x from centroid. Show transformation path.,"Sequence showing triangle simultaneously rotating and shrinking, with logarithmic spiral path tracing one vertex's movement.",Symbolic Mathematical,Geometrical Transformations,19,"Constant angular displacement (60°)', 'Exponential scaling decay (0.7x per rotation)', 'Centroid remains fixed throughout', 'Spiral path mathematical accuracy', 'Simultaneous rather than sequential application'"
"Create inverse transformations: First scale a dodecahedron 2x from center, then apply inverse translation to compensate for displacement. Show transformation stages.","Three stages: original, scaled-up dodecahedron, and final position matching original size/location through calculated inverse translation vectors.",Symbolic Mathematical,Geometrical Transformations,20,"Accurate 2x volumetric scaling', 'Inverse translation cancels displacement artifacts', 'Final position matches original spatial coordinates', 'Consistent face angles throughout transformations', 'Visible vector arrows demonstrating compensation'"
Illustrate the complex transformation w=1/z applied to a grid of orthogonal circles in the complex plane.,Original Cartesian grid and transformed version showing circle inversions with preserved angles but altered sizes/distances.,Symbolic Mathematical,Geometrical Transformations,21,"Circle preservation under inversion', 'Angle consistency at curve intersections', 'Singularity handling at origin', 'Radial/circular line transformations', 'Simultaneous magnification/minification regions'"
"Display three iterations of a Sierpiński triangle transformation: scale by 0.5, translate copies to triangle vertices.","Fractal progression showing original triangle + self-similar smaller triangles positioned at each vertex, repeating pattern.",Symbolic Mathematical,Geometrical Transformations,22,"Precise 50% scaling factor', 'Vertex-aligned positioning of copies', 'No overlapping or gap between subsections', 'Iterative depth clarity', 'Conservation of overall triangular form'"
Rotate a regular pentagon 72° counterclockwise about a point 2 units below its geometric center. Show initial and final positions.,Two pentagons: the original and one rotated 72° around an external point. The rotated pentagon should maintain size/shape but show orbital displacement around the external pivot.,Symbolic Mathematical,Geometrical Transformations,23,"Exact 72° angular displacement', 'Consistent 2-unit pivot distance below center', 'Circular trajectory evidence in vertex paths', 'No size/scaling alterations', 'Distinct position from original despite matching internal angles'"
Depict a double transformation: rotate a cylinder 90° about its central axis while translating it 5 units along the rotation axis. Show intermediate stages.,Sequence showing: 1) Original cylinder 2) Rotation initiating 3) Combined rotation/translation 4) Final position with matching surface markings displaced linearly.,Symbolic Mathematical,Geometrical Transformations,24,"Simultaneous rotation and translation', 'Axial alignment during movement', '5-unit translation matching rotation completion', 'Surface texture continuity through transformation', 'Circular motion path superposition on linear displacement'"
Apply a 45° vertical shear to a square with fixed top side. Show pre/post transformation states.,Original square and transformed parallelogram. Top edge remains fixed while lower vertices shift horizontally by distance equal to original height.,Symbolic Mathematical,Geometrical Transformations,25,"Invariant top edge length and position', '45° shear angle in vertical direction', 'Base vertex displacement matches height', 'Area preservation (base×height unchanged)', 'Diagonal lengthening without rotation'"
Display the reflection of a right-angled triangle across the x-axis. Show both the original triangle and its reflected image.,"The image should show a right-angled triangle above the x-axis and its mirror image below the x-axis, with corresponding vertices equidistant from the axis (e.g., vertex at (2,3) reflected to (2,-3)).",Symbolic Mathematical,Geometrical Transformations,26,"Presence of both original and reflected triangles', 'Correct reflection across x-axis (vertical mirroring)', 'Corresponding vertices equidistant from x-axis', 'Preservation of right-angle property in both triangles', 'Clear visual distinction between original and reflected images'"
Illustrate scaling a pentagon by a factor of 0.5 (halving its size) from one of its vertices. Show the original and scaled pentagon.,"The image should show a pentagon and a smaller pentagon where all vertices of the scaled shape are halfway between the chosen vertex and the original vertices, maintaining the same relative proportions.",Symbolic Mathematical,Geometrical Transformations,27,"Visible original and scaled pentagons', 'Consistent scaling from specified vertex', 'All scaled vertices positioned at midpoint between original vertex and scaling center', 'Maintained shape proportions (no distortion)', 'Uniform scaling in all directions from the vertex'"
"Show the glide reflection of a letter 'F': reflect it across the horizontal line y=2, then translate it 4 units to the right. Display both positions.","The original 'F' is shown above y=2. The transformed 'F' is mirrored below y=2 and shifted right by 4 units, with the reflection and translation applied sequentially.",Symbolic Mathematical,Geometrical Transformations,28,"'Correct reflection over y=2 line first', 'Accurate subsequent translation (4 units right)', 'Maintained reflection properties (mirror image)', 'Proper sequence of operations (reflection then translation)', 'Preserved F characteristics in transformation'"
Illustrate shearing a square along the y-axis by a factor of 1. Show the original and sheared square.,"The original square is shown with vertical sides. After shearing, the square becomes a rhombus where the top and bottom edges remain horizontal, but the sides slant vertically (e.g., top-right vertex shifted upward).",Symbolic Mathematical,Geometrical Transformations,29,"Clear depiction of original square and sheared rhombus', 'Vertical shearing along y-axis only', 'Horizontal preservation of top/bottom edges', 'Vertical displacement proportional to shear factor (1:1 ratio)', 'Maintained area despite shape distortion'"
Display a 180-degree rotation of a 3D pyramid around its base edge. Show the pyramid before and after rotation.,"The image should show a pyramid with a triangular base. After rotation, the pyramid appears 'flipped' such that its apex is on the opposite side of the base edge, maintaining the same base orientation.",Symbolic Mathematical,Geometrical Transformations,30,"Proper 180° rotation around specified base edge', 'Apex position reversed relative to base', 'Maintained base orientation during rotation', 'Consistent 3D representation pre/post rotation', 'No distortion of base triangle shape'"
Illustrate the dilation of an ellipse by a factor of 1.5 from its leftmost focus point. Show the original and dilated ellipses.,"The original ellipse has one focus marked. The dilated ellipse is 1.5x larger, with all points expanded outward from the specified focus, keeping it anchored at that point.",Symbolic Mathematical,Geometrical Transformations,31,"Precise 1.5x scaling factor applied exclusively from the leftmost focus', 'Anchored dilation maintaining the original focus position unchanged', 'Clear visual distinction between original/dilated ellipses', 'Proportional expansion of all ellipse axes from specified focus', 'Consistent preservation of ellipse eccentricity post-dilation'"
