Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A deciduous tree in mid-November in the Northern Hemisphere.,"Bare branches with no leaves, fallen leaves around the base.","Mid-November in the Northern Hemisphere is late autumn, when deciduous trees have shed their leaves.",Commonsense,Temporal Understanding,1
A sunflower field in late August.,Mature sunflowers with drooping heads and visible seeds.,"By late August, sunflowers have fully matured and begun to wilt, exposing seeds.",Commonsense,Temporal Understanding,2
A deciduous forest in mid-January.,Bare tree branches without leaves; possible snow on the ground.,Winter seasonality dictates leafless trees in temperate climates.,Commonsense,Temporal Understanding,3
"A vase with fresh-cut flowers, three days after being placed on a dining table.",Flowers show wilting petals and drooping stems.,Evaluates knowledge of organic decay processes and time-dependent biological changes.,Commonsense,Temporal Understanding,4
A skier descending a mountain slope during nighttime.,The slope is illuminated by artificial lights with a dark sky.,Tests awareness of time-based environmental adaptations (lighting for nighttime activities).,Commonsense,Temporal Understanding,5
A residential kitchen 2 hours after a birthday party ended.,"Deflated balloons, leftover cake, and dirty dishes.",Post-event cleanup stages are predictable after a specific duration.,Commonsense,Temporal Understanding,6
The wheat field when the frogs are croaking loudly at night.,"A picture of a wheat field that is green and growing should be generated. Frogs croaking loudly at night suggests that it is spring or early summer, and wheat is usually growing during this time.","Frogs croaking loudly at night is typically associated with spring or early summer, when these creatures are most active. This is also the time when wheat is usually growing, so the image should reflect a green, growing wheat field during this season.",Commonsense,Temporal Understanding,7
The rice paddies when lotus flowers start closing their petals.,"Paddies flooded with young rice plants. Lotuses close at dusk, indicating evening time.","Lotus flowers close at dusk, signaling the transition to evening. This suggests that the scene takes place during the evening, with rice paddies flooded with young plants typically seen in the growing season.",Commonsense,Temporal Understanding,8
The Sydney Opera House at 6 PM London Time.,"The image should depict Sydney Opera House in the early morning, possibly with sunrise colors.","6 PM London time is 5 AM the following day in Sydney due to the time zone difference. Thus, the scene would occur in the early morning hours in Sydney, and the image should reflect early morning light, potentially with sunrise hues.",Commonsense,Temporal Understanding,9
A Rio de Janeiro beach at 9 AM Moscow time.,"The image should depict a Rio beach at early night, likely empty or with very few people.","9 AM Moscow time corresponds to 4 AM in Rio de Janeiro due to the time difference. This would likely result in a beach scene at night, when the beach is either deserted or has very few people.",Commonsense,Temporal Understanding,10
