Prompt,Reference Caption,Category,Subcategory,id,Assessment Point
"If a person is present, then they are squatting. Generate an image of a library with many people.",All people in the library are squatting; none are standing or sitting.,logical,Sufficient Conditional,1,"Since presence implies squatting, every visible person must be in a squatting posture; standing or sitting would contradict the sufficient conditional."
"If a flower is present, then it is wilting. Generate an image of a vibrant garden full of flowers.","All flowers have drooping petals, browned edges, or dried stems.",logical,Sufficient Conditional,2,"Given that flower presence implies wilting, every flower in the garden must exhibit signs of decay, not blooming or healthy appearance."
"If a light is turned on, then it is red. Generate an image of a bird’s-eye view city street with many lights at night.",All lights in the city street are red; no other colors are visible.,logical,Sufficient Conditional,3,"Being turned on implies being red, so every light that is illuminated must be red to satisfy the logic of the condition."
"If a pot is present, then it is boiling. Generate an image of a kitchen with many pots.","All pots have visible steam, bubbles, or vigorous motion in their contents.",logical,Sufficient Conditional,4,"As pot presence implies boiling, every depicted pot must show boiling activity—steam or bubbling—regardless of whether it's in use or not."
"If a bird is present, then it is a seagull. Generate an image of a beach with many birds.","Only white/gray seabirds with long wings (no sparrows, pelicans, or parrots).",logical,Sufficient Conditional,5,"Bird presence requires the bird to be a seagull, so the image must contain no other bird types to uphold the sufficient conditional."
"If a computer is turned on, then its screen is green. Generate an image of an office with lots of computers.",All computers have green screens; no other screen colors are visible.,logical,Sufficient Conditional,6,Any computer that is powered on must have a green screen; the image meets this by restricting all visible screens to green.
"If a cloud is present, then it is dark. Generate an image of a mountain landscape with many clouds.",All clouds are deep gray or black (no white/fluffy cumulus clouds).,logical,Sufficient Conditional,7,"Presence of clouds implies darkness, so all clouds must appear ominous or stormy to satisfy the logical requirement."
"If a student is present, then they are raising their hand. Generate an image of a classroom with many students.",Every student has at least one arm raised (no sitting/standing with arms down).,logical,Sufficient Conditional,8,Every depicted student must have a raised hand since being present entails that condition per the prompt’s logic.
"If a plate is present, then it is empty. Generate an image of a busy restaurant with many dishes.","All plates have no food (clean or with crumbs, but no intact dishes).",logical,Sufficient Conditional,9,"Plate presence implies emptiness, so all shown plates must have no food regardless of the dining context."
"If a vehicle is moving, then it is a truck. Generate an image of a highway with many cars.",All cars in motion are large trucks (stationary cars can be sedans or SUVs).,logical,Sufficient Conditional,10,Only moving vehicles must be trucks—stationary ones are unrestricted—so all driving cars must appear as trucks to fulfill the condition.
"If a tree is present, then it has no leaves. Generate an image of a dense forest.","All trees are bare (no leaves), regardless of species or season.",logical,Sufficient Conditional,11,"Presence of a tree requires leaflessness; so even in a dense forest, all trees must appear bare to honor the sufficient condition."
"If a person is walking, then they are holding an umbrella. Generate a busy city street with many pedestrians.",All walking people have umbrellas.,logical,Sufficient Conditional,12,Being in motion (walking) implies umbrella-holding; so every moving pedestrian must have an umbrella regardless of weather.
"If a flower is present, then it is white. Generate a vibrant garden with many flowers.","All flowers (roses, tulips, etc.) are exclusively white.",logical,Sufficient Conditional,13,"Flower presence requires whiteness; so the image must avoid any non-white flowers, despite the vibrant garden setting."
