Assessment Point,Prompt,Reference Caption,Category,Subcategory,id
The model should know that a bird is smaller than a dog in the real world.,A bird perched on top of a dog.,"A small bird perched on top of a larger dog, with the size difference clearly visible.",Compositional,Inferential Spatial,1
The model should recognize the size difference between an adult-sized bicycle and a child-sized bicycle.,Two bicycles leaning against a fence: one adult-sized and one child-sized.,"The adult-sized bicycle appears larger, while the child-sized bicycle is visibly smaller in comparison.",Compositional,Inferential Spatial,2
A person’s shadow at noon should be shorter than their actual height.,"A person standing on a sidewalk at midday, casting a sharp shadow on the ground.","The shadow is compact and directly beneath the person, not stretching far.",Compositional,Inferential Spatial,3
"The image setup requires the balloon to appear larger than the airplane due to forced perspective, where objects closer to the viewer appear larger. The caption is consistent with this spatial relationship by explicitly stating the balloon's dominant presence in the composition.","A child holding a red balloon in the foreground, with a passenger jet flying high in the distant sky.","The balloon occupies more image space than the airplane, illustrating forced perspective.",Compositional,Inferential Spatial,4
A soda can is taller than a vertical stack of five coins.,A soda can standing next to a vertical stack of five coins.,The can’s height exceeds the stack of coins.,Compositional,Inferential Spatial,5
A toy truck in the foreground should appear larger than real trucks on a distant highway.,"A brightly colored toy truck in the foreground, with full-sized trucks driving on a distant highway.","The toy truck is large and detailed, while real trucks are minuscule in the background.",Compositional,Inferential Spatial,6
A hummingbird is smaller than a sunflower in real-world scale.,A hummingbird hovering beside a blooming sunflower in a garden.,The hummingbird is diminutive compared to the large sunflower.,Compositional,Inferential Spatial,7
The model should infer that a cruise ship dwarfs a school bus in size.,A school bus parked next to a cruise ship.,"The cruise ship towers over the school bus, with the bus appearing tiny relative to the ship’s hull.",Compositional,Inferential Spatial,8
The model should infer a toothbrush fits within a bathroom sink.,A toothbrush lying in a bathroom sink.,The toothbrush is small enough to rest inside the sink’s basin.,Compositional,Inferential Spatial,9
The model must know a hot air balloon is vastly larger than a toaster.,A toaster placed next to a hot air balloon on the ground.,"The balloon’s basket and envelope dominate the scene, making the toaster appear minuscule.",Compositional,Inferential Spatial,10
The model should infer that a car in a bathtub must be a toy.,A car in a standard-sized bathtub.,A miniature car placed inside a standard-sized bathtub.,Compositional,Inferential Spatial,11
The model should infer that a helicopter on a dining table is a toy.,A helicopter landing on a dining table.,A model helicopter with rotors smaller than the tabletop.,Compositional,Inferential Spatial,12
The model should infer that a blue whale is significantly larger than a school bus.,A blue whale next to a school bus.,"The blue whale dwarfs the school bus in size, with clear proportional disparity.",Compositional,Inferential Spatial,13
The model should know the Great Pyramid of Giza towers over a pickup truck.,The Great Pyramid of Giza beside a pickup truck.,"The pyramid dominates the scene, with the truck appearing minuscule at its base.",Compositional,Inferential Spatial,14
The model should infer a teacup is tiny compared to a hippopotamus.,A teacup balanced on a hippopotamus's head.,"A small teacup resting on the hippo’s large head, highlighting the animal’s size.",Compositional,Inferential Spatial,15
The model must depict a mouse as significantly smaller than a horse’s hoof.,A mouse standing next to a horse's hoof.,"The mouse is tiny compared to the horse’s hoof, emphasizing the horse’s size.",Compositional,Inferential Spatial,16
The model should know that a cruise ship is much larger than a kayak.,A kayak floating near a cruise ship.,"The cruise ship dominates the scene, with the kayak appearing tiny in comparison.",Compositional,Inferential Spatial,17
The model should depict a ladybug as significantly smaller than a basketball.,A ladybug and a basketball.,The ladybug is a small dot on the surface of the much larger basketball.,Compositional,Inferential Spatial,18
The model should infer a cruise ship’s massive scale relative to a bicycle.,A cruise ship docked next to a bicycle on a pier.,"The ship’s hull towers over the bicycle, which appears minuscule nearby.",Compositional,Inferential Spatial,19
The model should position a pencil as tiny against the Leaning Tower of Pisa.,A pencil leaning against the Leaning Tower of Pisa.,"The pencil is a thin, small object at the base of the towering structure.",Compositional,Inferential Spatial,20
The model should render a refrigerator as much larger than a mouse.,A mouse sitting in front of a closed refrigerator.,The refrigerator’s door and height overshadow the small mouse on the floor.,Compositional,Inferential Spatial,21
The model should show a hummingbird as smaller than a sunflower.,A hummingbird hovering near a blooming sunflower.,The hummingbird’s body is smaller than the sunflower’s central disc.,Compositional,Inferential Spatial,22
The model should know a polar bear’s size would make a standard sofa appear small.,A polar bear sitting on a sofa.,"The bear’s massive body overflows the sofa, emphasizing its size.",Compositional,Inferential Spatial,23
The model should infer an ant and sand grain are negligible compared to the Empire State Building.,An ant carrying a grain of sand up the Empire State Building.,The ant and sand are barely visible against the building’s vast surface.,Compositional,Inferential Spatial,24
The model should recognize a blue whale is larger than a fishing boat.,A blue whale surfacing next to a fishing boat.,The whale’s body length exceeds the boat’s size.,Compositional,Inferential Spatial,25
The model should know a giraffe’s height allows it to reach a second-story window naturally.,A giraffe peeking into a second-story window.,"The giraffe’s head aligns with the window without stretching, implying realistic proportions.",Compositional,Inferential Spatial,26
The model should depict an ant as minuscule compared to a loaf of bread.,An ant carrying a loaf of bread on its back.,"The ant is tiny, struggling to lift a full-sized loaf (emphasizing size contrast).",Compositional,Inferential Spatial,27
The model should recognize a basketball cannot fit inside a standard microwave in the real world.,A basketball inside a microwave.,"The basketball protrudes from the microwave, with the door partially open or strained.",Compositional,Inferential Spatial,28
The model should understand a wristwatch is too small for a giraffe’s leg.,A person's wristwatch wrapped around a giraffe’s leg in the real world.,The watch fails to clasp around the giraffe’s thick leg.,Compositional,Inferential Spatial,29
The model should recognize a chess knight is miniature compared to a real horse.,A chess knight piece standing next to a live horse.,"The chess piece is tiny, placed at the horse’s hoof level.",Compositional,Inferential Spatial,30
