Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A barber pole outside a haircut shop.,"Spiral red, white, and blue stripes.","Barber poles have culturally specific designs.  Straight stripes, wrong colors (e.g., yellow), or missing spirals would indicate a lack of contextual knowledge.",Commonsense,Social Cultural Knowledge Object,1
A ten-year-old kid's birthday cake with taper candles.,Ten taper candles are on the cake.,"Typically, a ten-year-old's birthday cake will have candles matching their age, with one candle for each year, which in this case is ten candles.",Commonsense,Social Cultural Knowledge Object,2
A congested road in the city with bicycle lanes.,The middle lanes are packed with cars. Bicycle lanes on the sides of the road are packed with bicycles.,"In a congested city road, it is common for the main lanes to be crowded with cars, while bicycle lanes, often separated from the main traffic, are used by cyclists. This reflects common traffic patterns.",Commonsense,Social Cultural Knowledge Object,3
A two-year-old kid's birthday cake with taper candles.,Two taper candles are on the cake.,"A two-year-old's birthday cake typically has candles matching their age, so there would be two candles on the cake to reflect the child's age.",Commonsense,Social Cultural Knowledge Object,4
A checkers board at the start of a game.,12 red and 12 black pieces placed on dark squares of the first three rows on each side.,"In a game of checkers, each player starts with 12 pieces placed on the dark squares of the first three rows closest to them, as per the standard rules.",Commonsense,Social Cultural Knowledge Object,5
Traditional formal attire for a Scottish Highland event.,"Kilt, sporran (decorative pouch), and sgian-dubh (small knife tucked into sock).","For a traditional Scottish Highland event, the kilt is the main garment, often paired with a sporran for carrying essentials and a sgian-dubh, a small knife typically worn tucked into the sock, as part of formal attire.",Commonsense,Social Cultural Knowledge Object,6
Decorations placed at a home entrance during Japanese New Year.,Kadomatsu (pine/bamboo arrangement) or shimekazari (straw rope with paper strips).,"Kadomatsu and shimekazari are traditional decorations used in Japan to welcome the New Year. Kadomatsu represents prosperity and long life, while shimekazari is meant to ward off evil spirits and bring good fortune.",Commonsense,Social Cultural Knowledge Object,7
A candelabrum lit nightly during an eight-day Jewish winter festival.,Hanukkiah (nine-branched menorah with one 'shamash' helper candle).,"The Hanukkiah is used during the Jewish holiday of Hanukkah, a celebration of the miracle of the oil lasting for eight days. The nine branches represent the eight days of Hanukkah and the one central branch, known as the 'shamash,' is used to light the other candles.",Commonsense,Social Cultural Knowledge Object,8
A necklace tied by a Hindu groom during wedding rituals.,Mangalsutra (black-and-gold beaded necklace).,"The Mangalsutra is a sacred necklace worn by Hindu brides and grooms as part of the wedding ritual, symbolizing the bond of marriage. The black beads are believed to protect the couple from evil, while the gold signifies prosperity.",Commonsense,Social Cultural Knowledge Object,9
The official flag representing Indigenous Australians.,"Black (top), red (bottom), and yellow central circle.","The black color represents Indigenous Australians, the red symbolizes the land and spiritual connection, and the yellow circle represents the sun, an important symbol in Indigenous culture.",Commonsense,Social Cultural Knowledge Object,10
