Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
"Depict the union of sets M = {apple, ∞, 5} and N = {∞, 5, zirconium}. Highlight M ∪ N.","Two overlapping circles within a universal set. Set M contains {apple, ∞, 5}, and set N contains {∞, 5, zirconium}. The entire area of both circles (including overlap) is shaded, representing M ∪ N = {apple, ∞, 5, zirconium}.","['Two overlapping circles labeled M and N.', 'Set M includes **apple, ∞, 5** in its region.', 'Set N includes **∞, 5, zirconium** in its region.', 'All regions of both circles (overlapping and non-overlapping) are shaded/colored.', 'No elements outside M or N are included in the union.']",Symbolic Mathematical,Set Theory,1
"Demonstrate that set T = {earth, 3} is a subset of set U = {earth, 3, water, fire}.","A smaller circle T entirely within a larger circle U. Set T contains {earth, 3}, and U includes all elements of T plus {water, fire}. No overlap outside T.","['Circle T is fully enclosed within circle U.', 'Set T contains **earth, 3**; Set U adds **water, fire**.', 'No elements of T appear outside the T-U overlap.', 'Clear visual hierarchy (size/position) to emphasize T ⊆ U.', 'Universal set rectangle encompasses both sets.']",Symbolic Mathematical,Set Theory,2
"Visualize the universal set Ω = {giraffe, 42, triangle, red} and the complement of set D = {triangle, 42}.","A large rectangle represents Ω. Inside it, a circle for set D contains {triangle, 42}. The complement set D’ = {giraffe, red} should be shaded outside the circle but within the rectangle.","['Universal set Ω is depicted as a large rectangle.', 'Set D is a circle within Ω containing **{triangle, 42}**.', 'Complement set D’ (**{giraffe, red}**) is shaded/colored outside the D circle but inside Ω.', 'No extraneous or missing elements in Ω, D, or D’.']",Symbolic Mathematical,Set Theory,3
"Depict the intersection of sets F = {mango, ∇, 17} and G = {∇, cobalt, 17}. Highlight F ∩ G.","Two overlapping circles. Set F has {mango, ∇, 17}, set G has {∇, cobalt, 17}. The overlapping region contains {∇, 17}, clearly marked with distinct coloring or patterns.","['Two overlapping circles labeled F and G.', 'Set F contains **mango, ∇, 17** (exclusively in its non-overlapping area).', 'Set G contains **cobalt, ∇, 17** (exclusively in its non-overlapping area).', 'Overlap region explicitly includes **∇, 17** with distinct highlighting (color/pattern).', 'No shared elements outside the intersection.']",Symbolic Mathematical,Set Theory,4
"Show that sets H = {volcano, 89} and J = {kiwi, ∇} are disjoint.","Two separate, non-overlapping circles within a universal set rectangle. Set H contains {volcano, 89}, set J contains {kiwi, ∇}. No shared elements between circles.","['Universal set rectangle encompassing both sets.', 'Two non-overlapping circles for H and J.', 'Set H contains **volcano, 89**; Set J contains **kiwi, ∇**.', 'No elements in the space between or overlapping regions.', 'Clear separation between circles to emphasize disjointness.']",Symbolic Mathematical,Set Theory,5
"Represent K = {jupiter, mars} as a subset of the universal set S = {mercury, venus, earth, mars, jupiter}.","A large rectangle for S with all 5 planets. A circle labeled K entirely inside S contains only {jupiter, mars}. Other elements remain outside the circle.","['Universal set S is a rectangle with **mercury, venus, earth, mars, jupiter**.', 'Circle K is fully enclosed within S and contains **only jupiter, mars**.', 'Elements **mercury, venus, earth** are outside the K circle but within S.', 'No elements misplaced between K and S-K.']",Symbolic Mathematical,Set Theory,6
"Illustrate the union of M = {gold, 16, π} and N = {silver, 16, Ω}. Label M ∪ N.","Two overlapping circles. M has {gold, 16, π}, N has {silver, 16, Ω}. The combined set M ∪ N = {gold, silver, 16, π, Ω} highlighted across both circles and overlap.","['Overlapping circles for sets M and N.', 'Set M contains **gold, 16, π**; Set N contains **silver, 16, Ω**.', 'Union region (entire area of both circles) is shaded/colored or labeled as **M ∪ N**.', 'Shared element **16** appears in the overlapping region.', 'No missing elements in the union: **gold, silver, 16, π, Ω**.']",Symbolic Mathematical,Set Theory,7
Compare set P = {y | y is a negative real number} with Q = ℝ⁻ using notation.,"Set P shown in set-builder notation: {y | y ∈ ℝ, y < 0}. Set Q labeled as ℝ⁻. Arrows or text indicating both representations are equivalent.","['Set P explicitly written in set-builder notation {y | y ∈ ℝ, y < 0}', 'Set Q clearly labeled as ℝ⁻', 'Visual/textual indication of equivalency between P and Q (e.g., arrows, = sign, or explanatory text)', 'Both sets positioned to emphasize comparison', 'All elements shown as negative real numbers (no positive values or zeros present)']",Symbolic Mathematical,Set Theory,8
"Depict the universal set U = {compass, protractor, marker, tape} and the complement of set A = {compass, tape} using a Venn diagram.","A large rectangle encloses two circles. Circle A contains {compass, tape}. The complement A’ = {protractor, marker} should be visually distinguished outside circle A but within the rectangle, possibly through shading or color contrast.","['Clear universal set boundary (rectangle encompassing all elements)', 'Set A correctly contains only compass and tape', ""Complement A' visibly distinct through shading/color/positioning"", 'All universal elements present and properly located', ""No elements appearing in both A and A' simultaneously""]",Symbolic Mathematical,Set Theory,9
"Create a Venn diagram showing set P = {pear, guava, fig} and set Q = {guava, fig, lime}. Highlight both their intersection and union.","Two overlapping circles. Intersection contains {guava, fig}. P has unique element {pear}, Q has {lime}. The union area (all elements combined) should be marked distinctly, possibly with a colored border encompassing both circles.","['Proper overlapping region showing shared elements', 'Unique elements correctly positioned in respective circles', 'Union clearly demarcated (e.g., colored border around both circles)', 'Intersection visually distinct from individual sets', 'All elements present and correctly assigned to regions']",Symbolic Mathematical,Set Theory,10
