Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A marking tool that releases colored powder onto surfaces via friction-based application.,Chalk,"Chalk is a marking tool commonly used on blackboards or other surfaces. It releases colored powder when used through friction, fitting the description of the tool in the prompt.",Commonsense,Affordance,1
An agricultural tool with a curved blade designed for cutting crops at ground level.,Sickle,"A sickle is an agricultural tool specifically designed with a curved blade to cut crops close to the ground, matching the description in the prompt.",Commonsense,Affordance,2
A maritime object that uses submerged resistance to stabilize floating vessels.,Anchor,"An anchor is a maritime object that provides resistance in water, stabilizing floating vessels by preventing them from drifting. This matches the description of the object in the prompt.",Commonsense,Affordance,3
A culinary device with perforations used to aerate powdered ingredients.,Flour sifter,"A flour sifter is a culinary device with perforations that is specifically used to aerate and sift powdered ingredients like flour, fitting the description provided in the prompt.",Commonsense,Affordance,4
An appliance that heats food rapidly using high-frequency energy waves.,A microwave oven,"A microwave oven uses high-frequency energy waves (microwaves) to rapidly heat and cook food, which perfectly matches the description in the prompt.",Commonsense,Affordance,5
A handheld tool that removes markings by rubbing against a surface.,Eraser,"An eraser is commonly used to remove pencil or ink markings by rubbing against the surface, which matches the description of a handheld tool for removing markings.",Commonsense,Affordance,6
A device that creates openings in sealed metal containers by rotating a cutting mechanism.,Can opener,"A can opener is designed specifically to open sealed metal containers, like cans, by using a rotating cutting mechanism, which matches the description provided.",Commonsense,Affordance,7
A structure with parallel horizontal bars allowing ascent to higher levels.,Ladder,"A ladder consists of parallel bars that facilitate climbing to higher levels, which directly aligns with the description of a structure for ascending.",Commonsense,Affordance,8
A tool that applies rotational force to fasteners with recessed grooves.,Screwdriver,"A screwdriver is designed to apply rotational force to screws, which have recessed grooves, perfectly fitting the description of a tool for fasteners with grooves.",Commonsense,Affordance,9
A portable item that produces flame through a sparking mechanism.,Lighter,"A lighter is a portable tool used to generate a flame through a sparking mechanism, which aligns with the description of producing a flame in a portable manner.",Commonsense,Affordance,10
A curved frame used to keep garments shaped while hung.,Clothes hanger,"A clothes hanger is specifically designed to hold garments, preserving their shape when they are hung up. The description of a 'curved frame' directly refers to the structure of a typical hanger.",Commonsense,Affordance,11
A utensil designed to flip items in a pan without breaking them.,Spatula,"A spatula is a flat, flexible tool used to flip and turn food items, especially in cooking, without breaking or damaging them. This aligns directly with the description of flipping items in a pan.",Commonsense,Affordance,12
An instrument that extracts cylindrical stoppers from glass containers.,Corkscrew,"A corkscrew is a tool specifically designed to extract corks, which are cylindrical stoppers, from bottles. The description fits perfectly with the function of a corkscrew.",Commonsense,Affordance,13
A collapsible fabric shield held above the head during rainfall.,Umbrella,An umbrella is designed to shield someone from rain and is collapsible for easy carrying. The description of a 'collapsible fabric shield' refers directly to the structure and use of an umbrella.,Commonsense,Affordance,14
A small metal piece that aligns with internal mechanisms to unlock barriers.,Key,"A key is a small metal tool used to operate locks, aligning with internal mechanisms to unlock doors, gates, or other barriers. The description accurately matches the function of a key.",Commonsense,Affordance,15
Generate a tool that pries off lids from sealed containers.,Bottle opener,"A bottle opener is specifically designed to pry off bottle caps or lids from containers, making it the appropriate tool for this task.",Commonsense,Affordance,16
Generate a device that displays time using moving pointers on a circular face.,Analog clock,"An analog clock uses rotating hands (pointers) on a circular face to display the time, fitting the description in the prompt.",Commonsense,Affordance,17
A device that binds sheets using small metal fasteners.,Stapler,"A stapler is designed to bind papers together using small metal staples, which aligns directly with the prompt.",Commonsense,Affordance,18
A handheld tool with a shaped end for twisting threaded fasteners.,Screwdriver,"A screwdriver has a shaped end (a flathead or Phillips head) that is used to twist and fasten screws, making it the correct answer for this description.",Commonsense,Affordance,19
Generate an insulated vessel designed to maintain liquid temperatures for hours.,Thermos flask,"A thermos flask is designed to keep liquids hot or cold for extended periods due to its insulated design, which perfectly matches the prompt description.",Commonsense,Affordance,20
Generate a toothed tool that divides wood through repetitive motion.,Hand saw,"A hand saw is a tool specifically designed to cut through wood using a repetitive back-and-forth motion. The 'toothed' description matches the serrated edge of a saw, which is used to divide materials like wood.",Commonsense,Affordance,21
A conical device that amplifies vocal output by channeling sound waves.,Megaphone,"A megaphone is a conical-shaped device designed to amplify sound. It works by directing sound waves in a focused direction, increasing the volume of the user's voice.",Commonsense,Affordance,22
