Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
Generate an image to explain the cause of following scene: a trail of spilled milk leading to an empty glass on the kitchen floor,Person accidentally knocking over the glass of milk while walking or reaching for something,Requires understanding the sequence of actions causing the milk to spill from the glass and create a trail,Causal,Effect To Cause,1
Generate an image to explain the cause of following scene: a shattered flowerpot and soil scattered near a windowsill,Person accidentally knocking over the flowerpot while reaching for something or an animal causing the pot to fall,"Requires understanding the physical interaction between the flowerpot, surface, and force causing it to break",Causal,Effect To Cause,2
Generate an image to explain the cause of following scene: a cloud of flour floating in the air above a kitchen counter,"Person sifting or pouring flour, causing it to scatter into the air",Requires understanding the action of handling flour and how it can disperse into the air,Causal,Effect To Cause,3
Generate an image to explain the cause of following scene: a car’s cracked windshield with a baseball lying nearby.,"A group of children playing baseball, ball mid-flight toward the car.","Connecting static damage to a transient external action, requiring temporal projection of motion trajectory",Causal,Effect To Cause,4
Generate an image to explain the cause of following scene: a tipped-over trash can with garbage strewn across a driveway.,"A raccoon standing on the can’s edge, pulling out trash.",Recognizing animal agency and depicting the interaction moment between animal and object,Causal,Effect To Cause,5
Generate an image to explain the cause of following scene: muddy paw prints on a just-mopped floor.,"A dog running indoors with wet, muddy paws.",Temporal/spatial reasoning to link residual traces (prints) to dynamic animal activity.,Causal,Effect To Cause,6
Generate an image to explain the cause of following scene: a campfire burning uncontrollably in a dry forest.,An unattended campfire with sparks flying toward nearby dry bushes.,Causal chain reasoning (neglect → sparks → dry environment → fire spread).,Causal,Effect To Cause,7
Generate an image to explain the cause of following scene: a bicycle lying sideways on a rainy road with skid marks.,"A cyclist braking suddenly on wet pavement, wheels skidding.",Dynamic motion representation (sudden braking) and surface interaction (wet road).,Causal,Effect To Cause,8
Generate an image to explain the cause of following scene: a deflated birthday balloon next to a cactus.,The balloon mid-pop as it touches the cactus’s spines.,Visual-spatial precision in transient object interactions (balloon puncturing).,Causal,Effect To Cause,9
Generate an image to explain the cause of following scene: a spilled coffee cup next to a laptop with error messages.,"A person jerking their arm in surprise, knocking the cup mid-motion.",Contextual integration of digital triggers (errors) and physical causality (spill).,Causal,Effect To Cause,10
Generate an image to explain the cause of following scene: a shattered cookie jar surrounded by biscuits on the kitchen floor.,"A cat swiping its paw at the jar's edge, mid-fall from the counter.","Requires temporal reasoning to depict the precise moment of cause (cat's action) before the effect (shattered jar), while maintaining logical object relationships.",Causal,Effect To Cause,11
Generate an image to explain the cause of following scene: a shattered porcelain vase with a baseball resting in the debris.,The baseball mid-trajectory toward the vase before impact.,Depicting temporal anticipation (imminent collision) rather than the visible aftermath.,Causal,Effect To Cause,12
Generate an image to explain the cause of following scene: extinguished birthday candles with faint smoke trails near an open window.,Strong wind gusts blowing through the window toward the candle flames.,Representing invisible causal forces (wind direction/strength) through secondary visual cues.,Causal,Effect To Cause,13
Generate an image to explain the cause of following scene: a tearful child sitting beside an overturned tricycle on pavement.,"The child losing balance mid-turn, hands releasing handlebars during the fall.",Freeze-framing transitional human motion preceding the final state.,Causal,Effect To Cause,14
Generate an image to explain the cause of following scene: a trail of wet footprints extending from a poolside to a crumpled dry towel.,"A swimmer dripping water mid-stride, leaving footprints as they walk toward the towel.","Temporal reasoning to connect sequential actions (swimming, exiting, drying) and physical traces (water evaporation, footprint formation).",Causal,Effect To Cause,15
Generate an image to explain the cause of following scene: a spiderweb-cracked tablet screen resting on a tiled floor.,"The tablet slipping from someone’s hands while standing near the tiles, captured mid-fall.",Dynamic event reconstruction: depicting mid-action motion (falling object) and cause-effect physics (impact angle causing specific crack patterns).,Causal,Effect To Cause,16
Generate an image to explain the cause of following scene: a shattered storefront window with a crowbar lying on the sidewalk.,A masked figure swinging the crowbar toward the glass in a burglary attempt.,"Intentionality recognition: associating tools with human actions and deducing malicious intent from contextual clues (crowbar position, window damage).",Causal,Effect To Cause,17
Generate an image to explain the cause of following scene: a tipped-over flowerpot with muddy paw prints leading away.,"A dog digging vigorously at the base of the plant, knocking the pot sideways.","Animal agency attribution: linking indirect evidence (paw prints, pot position) to animate causation (dog's behavior) rather than environmental factors.",Causal,Effect To Cause,18
Generate an image to explain the cause of following scene: fresh tire skid marks ending at a mangled guardrail on a highway.,"A car swerving abruptly and colliding with the guardrail, sparks flying on impact.",Kinetic chain visualization: reconstructing high-speed motion (skid-to-crash sequence) and energy transfer (vehicle momentum deforming metal).,Causal,Effect To Cause,19
Generate an image to explain the cause of following scene: a floating birthday balloon tangled in power lines.,"A child releasing the balloon’s string outdoors, wind carrying it upward toward wires.",Depicting the causal chain: human action (releasing) + environmental factor (wind) leading to entanglement.,Causal,Effect To Cause,20
Generate an image to explain the cause of following scene: a fallen bicycle with grocery bags scattered on a sloped road.,"The cyclist losing balance while carrying heavy bags, handlebars wobbling mid-crash.",Showing dynamic imbalance: connecting road slope + weight distribution to the accident moment.,Causal,Effect To Cause,21
Generate an image to explain the cause of following scene: a eaten pizza slice on the floor beside an overturned stool.,"A cat leaping onto the stool to reach the pizza, knocking it over during the jump.",Capturing causal sequence: mid-action leap directly causing both stool tilt and food spillage.,Causal,Effect To Cause,22
Generate an image to explain the cause of following scene: a collapsed sandcastle surrounded by deep footprints.,"A running child’s foot mid-air, about to accidentally crush the sand structure.",Implying imminent destruction: showing pre-collapse moment through contextual clues (foot trajectory).,Causal,Effect To Cause,23
Generate an image to explain the cause of following scene: an overturned antique hourglass with scattered sand across a wooden desk.,"A startled cat leaping onto the desk, knocking over the fragile timepiece.",Needs to connect animal behavior (cat's startled motion) to the physical consequence while maintaining narrative coherence.,Causal,Effect To Cause,24
Generate an image to explain the cause of following scene: an open birdcage with feathers scattered around the room.,A parrot flapping wildly after nudging open the cage door with its beak.,Demands dynamic representation of animal agency (beak nudging) and motion continuity (feather scattering from flapping).,Causal,Effect To Cause,25
Generate an image to explain the cause of following scene: a disassembled pocket watch with tiny gears strewn across a workbench.,A meticulous craftsman midway through repairing the intricate timepiece.,"Needs to contrast organized disassembly (repair process) with chaotic spillage, implying intentional human activity.",Causal,Effect To Cause,26
Generate an image to explain the cause of following scene: an overturned candle holder with wax pooled on a lace tablecloth.,An abrupt gust from an opening door tipping the candle before the wax fully solidified.,Challenges models to depict invisible force (wind gust) and temporal causality (liquid wax state enabling spillage).,Causal,Effect To Cause,27
Generate an image to explain the cause of following scene: a chessboard with scattered pieces and an overturned king.,A frustrated player sweeping the board after an unReference Caption checkmate.,Temporal reasoning to infer emotional human action preceding observed disorder,Causal,Effect To Cause,28
Generate an image to explain the cause of following scene: a broken stained-glass window with a fallen weathervane beneath it.,"A powerful storm dislodging the weathervane, sending it crashing through the colorful glass.",Linking environmental forces to sequential collision damage,Causal,Effect To Cause,29
Generate an image to explain the cause of following scene: a parchment scroll with ink blots and smudged writing.,A nervous scribe knocking over an inkwell while drafting an urgent letter.,Connecting psychological state to accidental physical consequences,Causal,Effect To Cause,30
Generate an image to explain the cause of following scene: a cracked porcelain teacup beside a splintered wooden tray.,"A server losing grip on the tray mid-step, sending the teacup tumbling to the floor.",Simultaneous representation of different material fractures from single accident,Causal,Effect To Cause,31
Generate an image to explain the cause of following scene: a car's dented front bumper pressed against a tree.,The car skidding uncontrollably toward the tree during a collision.,Depicting dynamic motion (skidding collision) that explains static damage evidence.,Causal,Effect To Cause,32
Generate an image to explain the cause of following scene: shattered glass and scattered flowers on the floor next to an empty table.,"A cat leaping onto the table, knocking a vase off the edge.",Needs to capture causal chain: feline movement → object displacement → breakage. Must balance action (leaping cat) and consequence (falling vase) in one frame.,Causal,Effect To Cause,33
Generate an image to explain the cause of following scene: a dented car roof and shattered windshield beneath a tree with a broken branch.,A heavy tree branch snapping and falling onto the parked car.,"Requires spatial/temporal reasoning to connect arboreal damage (broken branch) to vehicular damage, showing physics-based cause-effect relationship.",Causal,Effect To Cause,34
Generate an image to explain the cause of following scene: a dripping umbrella propped against a door with a puddle on the entryway.,"A person entering the house, shaking the umbrella vigorously to remove rainwater.","Requires inferring dynamic human action (shaking umbrella) from static effects (dripping, puddle).",Causal,Effect To Cause,35
Generate an image to explain the cause of following scene: a dented car bumper next to a bent street sign.,The car swerving into the signpost during a sharp turn.,Requires spatial reasoning to link two damaged objects through a single vehicular maneuver.,Causal,Effect To Cause,36
Generate an image to explain the cause of following scene: a spilled coffee cup on a desk with soaked papers.,"A person bumping into the desk while carrying a stack of books, knocking the cup over.","Representing a transient human action (bumping) that occurred prior to the visible effect, requiring temporal reasoning about cause/effect timing.",Causal,Effect To Cause,37
Generate an image to explain the cause of following scene: a fallen tree branch crushing a parked sedan's roof.,"The branch mid-fall during a storm, with strong winds bending the tree trunk.",Dynamic event reconstruction showing both environmental forces and causal trajectory.,Causal,Effect To Cause,38
Generate an image to explain the cause of following scene: a coffee stain on stair steps below an empty travel mug.,"A person tripping on untied shoelaces while carrying the mug, coffee mid-spill.","Depicting the dynamic action (tripping + mid-spill) leading to a static effect (stain), requiring temporal causality inference.",Causal,Effect To Cause,39
Generate an image to explain the cause of following scene: a bicycle lying on its side with a detached chain on pavement.,A cyclist pedaling hard uphill when the chain suddenly snaps.,Inferring mechanical failure (chain detachment) caused by contextual stress (pedaling uphill) from static effect.,Causal,Effect To Cause,40
Generate an image to explain the cause of following scene: a spilled bag of groceries at the bottom of a staircase.,A grocery bag tearing open as it slips from someone’s hands while descending the stairs.,Linking spatial context (staircase) to temporal action (slipping/dropping) that precedes visible outcome.,Causal,Effect To Cause,41
Generate an image to explain the cause of following scene: a flock of birds suddenly scattering from a tree.,A firecracker exploding mid-air near the tree branches.,Representing transient auditory stimuli (explosion) and its spatial/temporal relationship to birds' reaction,Causal,Effect To Cause,42
