Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A chameleon blending in with a brown leaf,A chameleon turns brown.,Chameleons change color to match their surroundings for camouflage; a brown leaf prompts the chameleon to turn brown.,Commonsense,Color,1
A chameleon blending in with a green leaf,A chameleon turns green.,"To blend into a green leaf, a chameleon uses its ability to match the environment by turning green.",Commonsense,Color,2
A premature banana,The banana is green.,"Bananas are green before they ripen and turn yellow, so a premature banana would still be green.",Commonsense,Color,3
A ripe apple,The apple is red.,"Many common apple varieties turn red when ripe, making red a commonsense expectation for a ripe apple.",Commonsense,Color,4
An unripe apple,The apple is green.,Unripe apples are typically green before developing red or yellow hues as they ripen.,Commonsense,Color,5
A pine tree in severe drought,The tree has wilted brown leaves.,Lack of water causes pine needles to lose their green color and turn brown due to dehydration and decay.,Commonsense,Color,6
An overripe avocado,A blackened avocado with spots on it is observed.,"As avocados overripen, their skin darkens and often develops dark spots due to oxidation and softening.",Commonsense,Color,7
A premature avocado,"A small, round, green fruit is seen.","Unripe avocados are smaller, firmer, and green in color before they mature and darken.",Commonsense,Color,8
A heated metal rod,The metal rod is red-hot and glowing.,"When metal is heated to high temperatures, it emits a red glow due to blackbody radiation.",Commonsense,Color,9
A rarely watered lawn,"The lawn is covered with dry, brown grass.","Without sufficient water, grass dries out and turns brown, a common sign of drought stress.",Commonsense,Color,10
A wheat field in the spring.,The wheat field is green.,"In spring, wheat is still growing and hasn't matured, so it appears green before turning golden in summer.",Commonsense,Color,11
A stop sign at a four-way intersection.,A red octagonal sign (no text or symbols needed).,Stop signs are universally red and octagonal by design for instant recognition and traffic regulation.,Commonsense,Color,12
A maple tree in autumn foliage.,Red or orange maple leaves (not green or brown).,"Maple trees are known for their vibrant red and orange leaves in autumn, as chlorophyll breaks down and reveals other pigments.",Commonsense,Color,13
A robin’s egg nestled in a tree branch.,A pale blue egg (no speckles or other colors).,"Robin eggs are famously pale blue, a distinctive color associated with this bird species.",Commonsense,Color,14
An old iron nail left exposed to rain.,A reddish-brown rusty nail (not metallic gray).,"Iron oxidizes when exposed to moisture and air, forming rust, which is typically reddish-brown in color.",Commonsense,Color,15
A traffic light signaling vehicles to proceed.,A lit green circular light (not red or yellow).,Green is universally used on traffic lights to indicate 'go' or proceed.,Commonsense,Color,16
A traffic light signaling vehicles to stop.,The active signal displays red.,Red is the standard color for 'stop' on traffic lights around the world.,Commonsense,Color,17
A school bus parked outside a school.,The bus is bright yellow.,"School buses are typically painted bright yellow for high visibility and recognition, especially for children's safety.",Commonsense,Color,18
The Statue of Liberty under morning light.,The statue exhibits a green patina.,"The statue is made of copper, which develops a green patina over time due to oxidation and exposure to the elements.",Commonsense,Color,19
A blacksmith's iron workpiece immediately after removal from the forge.,The iron glows orange-red.,"Heated iron glows orange-red when it reaches high temperatures, indicating it's malleable for forging.",Commonsense,Color,20
Overripe bananas in a fruit bowl.,Banana peels show extensive brown spots.,"As bananas ripen and overripen, the peel develops brown spots due to enzymatic browning and sugar concentration.",Commonsense,Color,21
A copper roof exposed to coastal weather for decades.,The roof displays a green verdigris coating.,"Copper reacts with moisture, oxygen, and atmospheric salts over time to form verdigris, a green-colored corrosion product.",Commonsense,Color,22
A wheat field at harvest time.,The wheat appears golden yellow.,"Wheat turns golden yellow when ripe and ready for harvest, which is a well-known visual indicator of its maturity.",Commonsense,Color,23
A cooked shrimp on a barbecue grill.,The shrimp has turned pink.,Shrimp changes from a grayish-blue to pink when cooked due to heat-induced protein changes like denaturation of astaxanthin-binding proteins.,Commonsense,Color,24
A weathered copper roof on an old building.,The roof exhibits a green patina.,"Copper reacts with moisture and air over time, forming a green patina known as verdigris, which protects the metal underneath.",Commonsense,Color,25
A traditional Western bride walking down the aisle.,The bride wears a white dress.,"In Western cultures, white wedding dresses symbolize purity and tradition, making white the conventional color choice for brides.",Commonsense,Color,26
A ripe jalapeño pepper ready for harvest.,The pepper is bright red.,"Jalapeños transition from green to bright red as they ripen, and red indicates peak ripeness and sweetness.",Commonsense,Color,27
A taxi in New York City.,The taxi is yellow.,"New York City taxis are famously painted yellow for visibility and uniformity, a tradition dating back to the early 20th century.",Commonsense,Color,28
A bruise on human skin after four days.,The bruise appears purple or yellowish.,"Bruises change color as blood breaks down under the skin; by the fourth day, purple and yellow hues are common due to hemoglobin degradation.",Commonsense,Color,29
A copper statue that has been outdoors for decades.,The statue is covered in green oxidation (patina).,Long-term exposure to air and rain causes copper to oxidize and form a protective green patina layer over time.,Commonsense,Color,30
A traffic light signaling drivers to prepare to stop.,The illuminated light is yellow.,Yellow traffic lights universally indicate caution and signal drivers to prepare to stop before the red light.,Commonsense,Color,31
A blacksmith working with iron in a forge.,The iron glows bright orange or yellow.,"When heated to high temperatures, iron emits visible light and glows orange or yellow due to blackbody radiation.",Commonsense,Color,32
A decorative mailbox in a rainy mountain town.,The mailbox is heavily rusted (reddish-brown).,"In a rainy environment, moisture accelerates metal oxidation, causing rust, which appears as a reddish-brown discoloration on metal surfaces like mailboxes.",Commonsense,Color,33
A ripe persimmon hanging from a tree.,The persimmon is deep orange in color.,"A ripe persimmon naturally develops a rich orange hue as it matures, which signals readiness for consumption.",Commonsense,Color,34
A chemical spill involving iodine vapor.,The vapor appears purple in the air.,"Iodine vapor has a characteristic deep violet or purple color when it sublimates into the air, which is a well-known property of the element.",Commonsense,Color,35
A person with severe sunburn on their shoulders.,The sunburned skin appears bright red.,"Severe sunburn causes skin inflammation and increased blood flow near the surface, which gives the skin a bright red appearance.",Commonsense,Color,36
A freshly extinguished log in a campfire.,The log is charred black.,"When a log burns and is extinguished, the surface becomes carbonized due to incomplete combustion, resulting in a blackened, charred appearance.",Commonsense,Color,37
A coral reef experiencing prolonged ocean warming.,The coral appears bleached white.,"Corals expel the symbiotic algae that give them color when stressed by warming, leading to a 'bleached' white appearance due to the underlying calcium carbonate skeleton.",Commonsense,Color,38
A steaming cup of black coffee in a porcelain mug.,The coffee is dark black.,"Black coffee, which contains no milk or cream, is known for its deep, nearly black color, especially when hot and freshly brewed.",Commonsense,Color,39
A silver necklace untouched for decades in a jewelry box.,The necklace is tarnished black.,"Over time, silver reacts with sulfur-containing compounds in the air, forming silver sulfide, which gives the necklace a black tarnish.",Commonsense,Color,40
A charcoal grill with fully burned briquettes.,The charcoal is ashy white-gray.,"When charcoal briquettes are fully burned, they leave behind ash that is typically white or light gray, indicating complete combustion.",Commonsense,Color,41
A person with severe jaundice.,The skin and eyes appear yellowish.,"Jaundice causes a buildup of bilirubin in the body, which gives the skin and the whites of the eyes a yellow tint.",Commonsense,Color,42
A litmus paper dipped in soapy water.,The paper turns blue.,"Soapy water is basic (alkaline), and litmus paper turns blue in the presence of a base.",Commonsense,Color,43
A sliced apple forgotten on a picnic table for an afternoon.,The apple flesh has turned brown from oxidation.,"When exposed to air, the enzymes in apple flesh react with oxygen, causing it to oxidize and turn brown.",Commonsense,Color,44
Freshly harvested wheat stalks in mid-summer.,The stalks are golden yellow.,"Wheat ripens and dries to a golden yellow color by mid-summer, indicating it's ready for harvest.",Commonsense,Color,45
A compost pile containing fallen oak leaves in late autumn.,The decomposed leaves are dark brown/black.,"As leaves decompose, microbial activity breaks them down into humus, which is typically dark brown or black.",Commonsense,Color,46
A banana picked too early from the tree.,The banana is green.,"Unripe bananas are green due to the presence of chlorophyll, which fades as the fruit ripens.",Commonsense,Color,47
A log reduced to embers in a dying fire.,The embers glow red.,"As a fire dies down, the remaining wood turns to embers that emit a red glow due to residual heat.",Commonsense,Color,48
A bruise on human skin two weeks after injury.,The bruise appears yellowish-green as it heals.,"As a bruise heals, hemoglobin breaks down into biliverdin and bilirubin, which give the skin a yellowish-green color.",Commonsense,Color,49
An unripe jalapeño pepper still attached to the plant.,The unripe jalapeño is green.,"Immature jalapeños are green, and they turn red only as they fully ripen on the plant.",Commonsense,Color,50
A silver spoon stored in a damp basement for a decade.,The spoon is tarnished black or dark gray.,"Silver reacts with sulfur compounds in the air, especially in damp environments, forming silver sulfide, which appears black or dark gray.",Commonsense,Color,51
Litmus paper dipped into a glass of lemon juice.,The paper turns bright red (indicating acidity).,"Lemon juice is acidic, and red litmus paper is a chemical indicator that turns bright red when it comes into contact with an acidic substance.",Commonsense,Color,52
A log freshly removed from a bonfire.,The log’s surface is charred black.,"Exposure to intense heat and flame causes the surface of the wood to undergo pyrolysis, resulting in black charring from burnt organic material.",Commonsense,Color,53
A tomato harvested early in the growing season.,The tomato is green.,Tomatoes that are harvested early have not fully ripened and therefore retain their natural green color due to chlorophyll.,Commonsense,Color,54
A cuttlefish hovering above coastal sand.,Sandy-beige skin texture.,Cephalopods dynamically adapt coloration to match environments.,Commonsense,Color,55
A white rose placed in water with food coloring for a period of time.,Rose petals absorbing the colored liquid.,Xylem transport visibly alters petal hue,Commonsense,Color,56
