Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A lion being groomed by a tiny mouse.,A small mouse carefully grooming a large lion’s mane.,Reversing predator-prey dynamics and implementing caretaking behavior.,Compositional,Creative Compositional,1
A bicycle riding another bicycle through a forest.,"One anthropomorphic bicycle pedaling while carrying a smaller bicycle on its rack, both with handlebar ""faces"".",Creates recursive object dependency by making vehicles both riders and passengers.,Compositional,Object Autonomy,2
A butterfly collecting spiders in a net.,"A vibrant butterfly wielding a tiny net, chasing terrified spiders into a specimen jar.",Inverts predator-prey expectations (spiders usually eat butterflies).,Animal Role Reversal,Predator-Prey Swap,3
Imagine a mountain with a waterfall defying gravity.,"A mountain with a waterfall flowing upwards, with water cascading in reverse.",Representing fluid dynamics contrary to physical laws while maintaining natural element plausibility.,Compositional,Creative Compositional,4
Draw a fish walking a dog on a leash.,A fish holding a leash and walking a dog.,Inverting terrestrial-aquatic creature roles and implementing human-like pet ownership behaviors.,Compositional,Creative Compositional,5
Draw a clock cooking a meal in a kitchen.,A clock wearing a chef’s hat and cooking food.,Anthropomorphizing a timepiece with culinary human actions while retaining clock functionality.,Compositional,Creative Compositional,6
Draw a forest where tree leaves are made of fire.,Trees with fiery leaves burning but not consuming the branches.,Combining opposing natural elements (fire and organic trees) while maintaining paradoxical coexistence.,Compositional,Creative Compositional,7
Visualize a functional bridge made entirely of fluffy clouds.,"A bridge constructed from dense, walkable clouds.",Reconciling intangible cloud properties with structural requirements for functional architecture.,Compositional,Creative Compositional,8
Draw a cat made of flowing water.,"A translucent, water-shaped cat in a feline pose.",Maintaining liquid fluidity while achieving solid biological form recognition.,Compositional,Creative Compositional,9
Visualize a functional car composed of flowing water.,"A translucent, water-shaped car with wheels and windows.",Balancing fluid dynamics with rigid mechanical structure requirements.,Compositional,Creative Compositional,10
Illustrate a fish using a fishing rod to catch humans in the ocean.,A fish angling for humans in water with fishing gear.,Subverting natural ecological hierarchies through role reversal in predator-prey relationships.,Compositional,Creative Compositional,11
Illustrate books reading people in a library.,Sentient literature examining human visitors through pages/eyewear.,Role reversal between sentient objects (books) and humans with unconventional perception methods,Compositional,Creative Compositional,12
