Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A transparent water tank with a tennis ball and an iron block.,"The model should generate an image where the tennis ball is floating on the surface of the water, and the iron block is sunk to the bottom of the tank. The image should clearly differentiate between the two objects' positions in water, showing one buoyant and one submerged","The tennis ball is less dense than water, so it floats on the surface, while the iron block, being denser than water, sinks to the bottom. This is based on the fundamental principle of buoyancy.",Commonsense,Attribute,1
A balloon filled with air in a room.,"The model should generate an image showing a balloon filled with air resting on the floor or suspended slightly, indicating its lack of significant buoyancy","A balloon filled with air is less buoyant compared to one filled with lighter gases like helium, so it typically doesn't float or rise significantly, leading to it resting on the floor or suspended slightly in the air.",Commonsense,Attribute,2
An image of a seesaw with a child on one side and an adult on the other.,"The model should generate an image where the seesaw is significantly tilted due to the weight difference between the child and the adult. The elephant should be on the lower side, close to the ground, and the child should be on the higher side, elevated in the air. The seesaw should not be level","The adult has more weight than the child, which causes the seesaw to tilt. The heavier side, with the adult, goes lower while the lighter side, with the child, rises higher. This is a basic principle of balance and weight distribution.",Commonsense,Attribute,3
A pair of scissors is cutting paper.,"The blades are aligned horizontally, with one blade above the paper and one below.",Scissors work through opposing shear forces.  Vertical blade alignment or mismatched positioning would make cutting impossible.,Commonsense,Attribute,4
A used tea bag next to a cup.,"Damp, stained, and expanded tea bag.","Used tea bags absorb water.  Incorrect: dry, pristine tea bag.",Commonsense,Attribute,5
A spoon in a glass of water.,The spoon appears bent at the water’s surface due to refraction.,"If the model ignores light refraction, the spoon would render straight.",Commonsense,Attribute,6
A polar bear in summer.,Yellow-tinged fur (not pure white).,Polar bear fur becomes yellowish due to oxidation and oils in warmer months.  Pure white would indicate Arctic winter context.,Commonsense,Attribute,7
A smartphone charging wirelessly.,"Phone placed horizontally on a charging pad, no cables.",Wireless charging requires specific positioning.  Failure might show a plugged-in cable.,Commonsense,Attribute,8
A mirror reflecting a red ball.,A perfect red replica of the ball in the reflection.,Incorrect color or distortion in the reflection would reveal ignorance of mirror properties (color fidelity and flatness).,Commonsense,Attribute,9
A dog that just heard a loud noise.,"The dog’s ears are perked up, body tense, and tail lowered.","Without knowledge of animal behavior, the model might show a relaxed dog, missing signs of alertness.",Commonsense,Attribute,10
A kangaroo sitting.,The kangaroo uses its tail as a tripod for balance.,"If the model doesn’t know kangaroos rely on their tails while sitting, it might depict the tail lifted or inactive.",Commonsense,Attribute,11
A pangolin in primary defensive behavior.,"The model should generate an image of a pangolin exhibiting its primary defensive behavior: curling into a tight ball. The scales should be prominently displayed, forming a protective armor around the animal. The head and limbs should be tucked inside the ball.","Pangolins use their primary defensive behavior of curling into a tight ball to protect themselves from predators. This behavior is accompanied by the display of their tough, overlapping scales, which form an armor. The head and limbs are hidden inside to shield them from danger, which is why the Reference Caption image emphasizes these features.",Commonsense,Attribute,12
A bathroom mirror after a hot shower.,Fogged/condensed mirror surface.,"Steam condenses on cool surfaces. Incorrect outputs might show a clear mirror, failing to infer this cause-effect relationship.",Commonsense,Attribute,13
A pair of glasses lying on a newspaper.,"The newspaper text is clearly visible through the lenses, slightly magnified or refracted.","The model must correctly infer the refractive properties of lenses, rather than generating an opaque or incorrectly transparent lens.",Commonsense,Attribute,14
A sunflower outdoors at night.,The sunflower’s head is slightly drooped or oriented downward.,"The model must understand sunflowers naturally lower their heads in the absence of sunlight, rather than facing upward or toward the nonexistent sun.",Commonsense,Attribute,15
