Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
Generate the result of a popsicle being left under direct sunlight for 20 minutes.,The popsicle melted.,Temporal reasoning about phase change over time and liquid physics simulation,Causal,Cause To Effect,1
Generate the result of a smartphone with poor quality dropped onto a concrete sidewalk from chest height.,"The smartphone is damaged, with visible cracks.",Material fracture pattern recognition and impact physics visualization,Causal,Cause To Effect,2
Generate the result of a sealed thin glass jar filled with boiling water being placed in an ice bath.,The glass jar shattered into pieces due to thermal shock.,Understanding thermal expansion/contraction principles and brittle material failure,Causal,Cause To Effect,3
"Generate an image of a car with no automatic safety features parked on a steep hill with its parking brake disengaged, where the situation leads to a potentially dangerous scenario","The car rolling downhill, possibly colliding with other objects.",Motion trajectory prediction and dynamic collision simulation,Causal,Cause To Effect,4
Generate the result of sprinkling salt over an icy sidewalk in -3℃ weather.,"The salt partially melts the ice, but the process is slow, and some slush may form. The ice may not fully melt, and the sidewalk could remain slippery.",Chemical reaction visualization and phase transition representation,Causal,Cause To Effect,5
Generate the result of a ripe tomato being squeezed tightly in a fist.,Tomato pulp and seeds oozing through fingers.,"Capturing dynamic fluid motion and material deformation under pressure, requiring understanding of temporal causality and viscous substance behavior.",Causal,Cause To Effect,6
Generate the result caused by overinflating a rubber balloon until it exceeds its limit,A burst balloon with torn rubber fragments scattered around.,"Depicting critical point failure mechanics and explosive disintegration, testing understanding of material stress limits and fragmentation patterns.",Causal,Cause To Effect,7
Generate the result caused by leaving a chocolate bar inside a parked car on a 35°C summer day.,The chocolate melted.,"Representing thermal phase transition and liquid flow dynamics, requiring comprehension of temperature effects on materials and contextual surface interaction.",Causal,Cause To Effect,8
Generate the result caused by driving a bicycle over a sharp thumbtack on the road.,The thumbtack pierced the bicycle tire.,"Demonstrating puncture mechanics and pressure loss, testing spatial understanding of object penetration and deflation state representation.",Causal,Cause To Effect,9
Generate the result caused by not watering a tomato plant for 40 consecutive days.,"A shriveled, brown plant with dried leaves and cracked soil.","Visualizing gradual biological decay processes, requiring interpretation of prolonged dehydration effects on organic structures and environmental context.",Causal,Cause To Effect,10
Generate the result caused by boiling a pot of water unattended until all liquid evaporates.,An empty metal pot.,Depicting time-dependent thermal degradation and phase transition effects,Causal,Cause To Effect,11
Generate the result caused by submerging a cotton teddy bear in a washing machine for an hour.,"A deformed, soggy teddy bear with matted fur.",Representing structural damage from mechanical water exposure on soft materials,Causal,Cause To Effect,12
Generate the result caused by spraying lemon juice across a freshly polished wooden table.,Faded white stains and discoloration patterns on the table surface.,Visualizing chemical corrosion effects on treated surfaces,Causal,Cause To Effect,13
Generate the result caused by hammering a nail into a car tire with force.,A deflated tire with a visible nail puncture.,Showing immediate consequences of structural compromise in pressurized objects,Causal,Cause To Effect,14
Generate the result of leaving an small ice cube under direct sunlight for two hours.,"The ice cube melted, possibly turning completely or partially into water.",Capturing state change through environmental thermal transfer over time,Causal,Cause To Effect,15
Generate the result of placing a sealed thin glass bottle filled with water in a freezer overnight.,A cracked glass bottle with ice protruding from fractured sections.,Visualizing water expansion during freezing and subsequent glass fracture patterns.,Causal,Cause To Effect,16
Generate the result of leaving a burning candle near an open window during a storm.,An extinguished candlewick with melted wax hardened in uneven drips.,Depicting simultaneous wind effects (flame extinction) and thermal dynamics (wax solidification patterns).,Causal,Cause To Effect,17
Generate the result of leaving a metal spoon inside a pot of boiling soup for 10 minutes.,"A spoon too hot to touch, with steam rising from its surface.",Representing thermal conductivity through visual cues (steam) without tactile temperature indicators.,Causal,Cause To Effect,18
Generate the result of holding a sheet of newspaper 5 cm above a lit candle flame.,Charred paper edges curling upward with visible glowing embers.,Showing progressive combustion stages from heat exposure to active smoldering effects.,Causal,Cause To Effect,19
Generate the result of keeping a potted fern in a completely dark closet for 30 days.,"Brittle, brown leaves falling from drooping stems in total darkness.",Illustrating long-term photomorphogenetic changes through plant decay and structural collapse.,Causal,Cause To Effect,20
What happens when a drop of oil is poured into a pan of boiling water?,The oil forms a layer on top of the water.,Understanding fluid density differences and immiscibility between oil and water.,Causal,Cause To Effect,21
Generate the result caused by overwatering a potted succulent plant daily for two weeks.,The succulent plant wilted.,Depicting biological decay processes and time-dependent effects of improper plant care.,Causal,Cause To Effect,22
Generate the result caused by pouring vinegar into a bowl of baking soda.,"A frothy, bubbling mixture emerges from the bowl.",Capturing chemical reaction dynamics (acid-base neutralization) and resulting foam expansion.,Causal,Cause To Effect,23
Generate the result caused by leaving an ice cream cone under direct sunlight for 15 minutes.,A melted ice cream puddle dripping down the cone onto the ground.,Representing phase transition (solid to liquid) and time-dependent melting physics.,Causal,Cause To Effect,24
Generate the result caused by a helium-filled balloon touching a sharp cactus spine.,A deflated balloon with torn pieces hanging from a cactus.,"Illustrating material interactions between fragile latex and sharp objects, including deflation mechanics.",Causal,Cause To Effect,25
Generate the result caused by letting a candle burn until its wick is fully consumed.,"A hardened pool of wax with an extinguished, shortened wick and no flame.",Temporal reasoning to show final state after prolonged combustion process,Causal,Cause To Effect,26
Generate the result caused by neglecting to water a potted fern for three weeks.,The fern wilted.,Representing gradual biological decay from sustained dehydration,Causal,Cause To Effect,27
Generate the result caused by a person accidentally dropping a glass of water on a non-waterproof laptop.,A malfunctioning laptop with visible water damage.,Accurately depicting the immediate damage caused by liquid exposure to electronic components.,Causal,Cause To Effect,28
Generate the result caused by pouring table salt directly onto a garden slug.,The slug shrivels and begins to release mucus.,Visualizing osmotic process and rapid biological deterioration,Causal,Cause To Effect,29
Generate the result caused by leaving an iron garden shovel outdoors during rainy seasons for months.,A shovel covered in reddish-brown rust patches and flaking metal.,Showing material corrosion through long-term environmental exposure,Causal,Cause To Effect,30
Generate the result caused by adding hydrochloric acid to a piece of zinc metal.,"The zinc reacts with the hydrochloric acid, producing hydrogen gas and forming zinc chloride, with bubbling and fizzing occurring as a result.",Accurately depicting the reaction kinetics and the visual effects of gas bubbling and metal dissolution.,Causal,Cause To Effect,31
Generate the result caused by mixing potassium permanganate with glycerin.,"A vigorous exothermic reaction occurs, producing a burst of flame and smoke as the potassium permanganate oxidizes the glycerin.","Capturing the intense heat, flame, and the rapid chemical reaction in a visually accurate manner.",Causal,Cause To Effect,32
Generate the result caused by adding sodium to water.,"The sodium reacts vigorously with water, producing hydrogen gas and heat, with the formation of a fiery explosion or flame as the hydrogen gas ignites.",Accurately illustrating the explosive nature of the reaction and the rapid formation of hydrogen gas and heat.,Causal,Cause To Effect,33
Generate the result caused by placing a lit incense stick near a smoke detector for 10 minutes.,"A smoke detector flashing red and emitting a loud alarm, with wisps of incense smoke curling around it.","Accurately depicting the smoke detection process, the visual effect of the incense smoke, and the alarm response from the smoke detector.",Causal,Cause To Effect,34
Generate what happens when toast is left in a toaster for twice the recommended time.,"A charred, blackened slice of bread, possibly with smoke rising from the toaster.","Accurately depicting the level of charring, smoke effects, and the potential for fire or burning odors emanating from the toaster.",Causal,Cause To Effect,35
Generate the result caused by heating ammonium dichromate in a petri dish.,"A vigorous exothermic reaction occurs, with the ammonium dichromate decomposing to produce orange flames, sparks, and a greenish residue of chromium(III) oxide.","Accurately depicting the intense heat, the dramatic visual effects of the flames and sparks, and the formation of the green chromium(III) oxide residue.",Causal,Cause To Effect,36
Generate the result caused by adding concentrated sulfuric acid to sugar.,"A strong exothermic reaction occurs, with the sugar decomposing and turning black as it produces a large amount of smoke and carbon, creating a dramatic black, spongy mass.","Capturing the dramatic, smoky reaction and the formation of black carbon while highlighting the exothermic nature of the sulfuric acid and sugar reaction.",Causal,Cause To Effect,37
