Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
"A bookshelf is placed against a wall, with a vase on the top shelf and a lamp on the floor. The lamp should be positioned a short distance from the wall.","A bookshelf against a wall, with a vase on the top shelf and a lamp on the floor, slightly away from the wall.",Positioning an object (lamp) at a small distance from a vertical reference (wall).,Compositional,Prescriptive Spatial,1
"A bicycle is leaning against a wall, with a helmet hanging from the handlebars. Place a water bottle on the ground next to the bicycle, not too close to the wall.","A bicycle leaning against a wall, with a helmet hanging from the handlebars, and a water bottle on the ground nearby but not too close to the wall.",Combining adjacency (next to bicycle) with a non-specific distance from the wall.,Compositional,Prescriptive Spatial,2
"A person is standing in a room, with a chair in front of them and a table behind them. Place a book on the table, slightly to the right of the person's shoulder.","A person standing in a room, with a chair in front of them and a table behind them, and a book on the table slightly to the right of the person's shoulder.",Body-relative positioning (right shoulder) using vague spatial language.,Compositional,Prescriptive Spatial,3
"A garden has a small pond in the center, with a fountain in the pond. Place a bench on the edge of the pond, not too close to the fountain.","A garden with a small pond in the center, a fountain in the pond, and a bench on the edge of the pond, positioned a short distance from the fountain.",Edge-based placement with general radial distance from central feature.,Compositional,Prescriptive Spatial,4
"A kitchen has a sink and stove, with a refrigerator on the opposite side of the room. Place a trash can near the sink, and a toaster just beside the stove.","A kitchen with a sink and stove, a refrigerator on the opposite side of the room, a trash can near the sink, and a toaster close to the stove.",Simultaneous proximity-based placement for multiple objects relative to different fixtures.,Compositional,Prescriptive Spatial,5
"A living room has a TV on the wall, with a coffee table in front of it. Place a vase on the coffee table.","A living room with a TV on the wall, a coffee table in front of it, and a vase on the coffee table.",Layered positioning (on surface + distance from wall-mounted object).,Compositional,Prescriptive Spatial,6
"A bedroom has a bed against a wall, with a nightstand next to it. Place a lamp on the nightstand, just a little offset from the bed.","A bedroom with a bed against a wall, a nightstand next to it, and a lamp on the nightstand, slightly separated from the bed.",Object placement on a surface with a small spatial buffer from another object.,Compositional,Prescriptive Spatial,7
"A museum has a exhibit with a large dinosaur model, a smaller model of a triceratops, and a display case. Place the triceratops model a short distance from the dinosaur model, and the display case just beyond the triceratops model.","A museum with an exhibit, a large dinosaur model, a smaller model of a triceratops a short distance away, and a display case positioned just beyond the triceratops model.",Sequential distance relationships between exhibit elements using relative spacing.,Compositional,Prescriptive Spatial,8
"A small bird is perched on the branch of a tall tree, with a nest a little to the left and just below it.","A small bird is perched on a tree branch, with a nest a bit lower and to the left of the branch.",Combined vertical (below) and horizontal (left) positioning in approximate terms.,Compositional,Prescriptive Spatial,9
"Position a bicycle at the top of a staircase, with a skateboard at the bottom step. The bicycle should be facing upwards, while the skateboard faces downwards.","A bicycle is positioned at the top of a staircase, facing upwards, while a skateboard is placed at the bottom step, facing downwards.",Positioning at opposite ends of a structure with opposing directional orientations.,Compositional,Prescriptive Spatial,10
