Prompt,Reference Caption,Category,Subcategory,Assessment Point,id
"Either a spoon is placed on the table, or a bowl is placed on the table.",An image of a spoon lying flat on the table or an image of an empty bowl on the table.,logical,Disjunctive,"Spoons and bowls are often used together in dining contexts. The model should interpret 'either...or...' to depict only one item, avoiding their typical co-occurrence.",1
Generate an image of either a pen or a notebook.,"A standalone pen (e.g., on a blank desk) or a closed notebook with no pen in sight.",logical,Disjunctive,Pens and notebooks are commonly paired. The model must avoid co-occurrence by depicting either a pen alone or a notebook without writing tools.,2
"Either shoes are placed by the door, or socks are left on the floor.",Shoes neatly placed by the door (no socks) or socks scattered on the floor (no shoes).,logical,Disjunctive,"Shoes and socks may logically appear in the same space. The model should ensure mutual exclusivity, depicting one item without the other.",3
Generate an image of either a flower vase or flowers.,A flower vase without flowers inside it or a bouquet of flowers in a vase with no empty vase nearby.,logical,Disjunctive,"Vases and flowers are inherently linked. The model must separate their standard association, showing either an empty vase or flowers not in a vase.",4
Generate an image of either a spoon or a fork.,"A spoon alone (e.g., on a plate) or a fork placed beside it with no spoon in sight.",logical,Disjunctive,"Spoons and forks are frequently paired utensils. The model should demonstrate disjunctive reasoning by depicting only one, excluding the other entirely.",5
Generate an image of either a pillow or a blanket.,"A pillow on a bed or a blanket folded neatly, with no pillow nearby.",logical,Disjunctive,"Pillows and blankets are commonly found together in bedding contexts. The model should interpret 'either/or' to depict only one item, ensuring the absence of the other in the scene.",6
Generate an image of either a notebook or a pen.,"A notebook open on a desk or a pen placed beside it, with no notebook nearby.",logical,Disjunctive,"Notebooks and pens are frequently associated as writing tools. The model must generate an image containing only one of the two objects, avoiding their typical co-occurrence.",7
Generate an image of either a cup of coffee or a teapot.,"A cup of coffee on a table or a teapot sitting on a tray, with no coffee cup nearby.",logical,Disjunctive,Coffee cups and teapots are both beverage-related items. The model should correctly represent the disjunction by excluding one item when the other is present.,8
Generate an image of either a plant pot or a plant.,A plant pot with no plant inside or a plant in a pot with no empty pot nearby.,logical,Disjunctive,"Plant pots and plants are naturally linked. The model must distinguish between an empty pot and a planted pot, ensuring the absence of the unselected option in the scene.",9
Generate an image of either a bicycle tire or a bicycle wheel.,A bicycle tire leaning against a wall or a bicycle wheel placed on the ground with no tire nearby.,logical,Disjunctive,"A tire is a component of a wheel. The model should demonstrate understanding of the part-whole relationship by depicting either the standalone tire or the complete wheel, not both.",10
Generate an image of either a chair or a cushion.,A chair sitting alone or a cushion placed on a chair with no other chair nearby.,logical,Disjunctive,"Chairs and cushions are often paired. The model should ensure only one is depicted (a standalone chair or a cushion without a nearby chair), avoiding their typical co-occurrence.",11
Generate an image of either a lamp or a lampshade.,"A lamp turned on (e.g., on a table) with no lampshade nearby or a lampshade alone with no lamp.",logical,Disjunctive,"Lampshades are normally part of lamps. The model should separate these components, depicting either a functional lamp (without a visible shade) or a standalone lampshade.",12
Generate an image of either a sandwich or a wrap.,A sandwich on a plate or a wrap rolled up with no sandwich visible.,logical,Disjunctive,Sandwiches and wraps are similar food items. The model should distinguish between them and avoid including both in the same image.,13
Generate an image of either a tennis ball or a tennis racket.,A tennis ball on the ground or a tennis racket placed beside it with no tennis ball nearby.,logical,Disjunctive,"Tennis balls and rackets are strongly associated. The model should ensure only one object is present, resisting the tendency to pair them.",14
Generate an image of either a spoon or a knife.,"A spoon on a plate or a knife placed beside it, with no spoon around.",logical,Disjunctive,"Spoons and knives are frequently part of a set. The model should depict only one utensil, avoiding their usual coexistence.",15
Generate an image of either a chair or a table.,"A chair standing alone (e.g., in a corner) or a table placed with no chair nearby.",logical,Disjunctive,"Chairs and tables are frequently paired in scenes. The model must interpret 'either/or' to depict only one object, avoiding their typical co-occurrence.",16
Generate an image of either a clock or a calendar.,"A clock hanging on the wall or a calendar on a desk, with no clock nearby.",logical,Disjunctive,"Clocks and calendars are often used together in organizational contexts. The model should ensure only one item is present, resisting the natural association between them.",17
Generate an image of either a bicycle or a helmet.,"A bicycle leaning against a wall or a helmet placed on a chair, with no bicycle in sight.",logical,Disjunctive,Bicycles and helmets have a functional dependency. The model must demonstrate disjunctive reasoning by excluding one item even though they are logically connected.,18
Generate an image of either a sandwich or a burger.,"A sandwich on a plate or a burger sitting on a serving tray, with no sandwich nearby.",logical,Disjunctive,"Sandwiches and burgers are similar meal options. The model should avoid combining both items despite their conceptual similarity, adhering strictly to the exclusive 'or' condition.",19
