Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
Seven pairs of jeans and three down jackets on the clothes rack,Seven pairs of jeans and three down jackets on the clothes rack,Accurately generating two distinct exact numbers (7 and 3) and associating each with the correct objects (jeans and down jackets) on the clothes rack,Numerical,Exact Number Generation,1
Twenty-five white earrings and twelve pink earrings,Twenty-five white earrings and twelve pink earrings,Accurately generating two distinct exact numbers (25 and 12) and associating each with the correct color (white and pink) for earrings,Numerical,Exact Number Generation,2
Eight green hairpins and five yellow hairpins,Eight green hairpins and five yellow hairpins,Accurately generating two distinct exact numbers (8 and 5) and associating each with the correct color (green and yellow) for hairpins,Numerical,Exact Number Generation,3
Nineteen brown dogs and seventeen grey dogs,Nineteen brown dogs and seventeen grey dogs,Accurately generating two distinct exact numbers (19 and 17) and associating each with the correct color (brown and grey) for dogs.,Numerical,Exact Number Generation,4
Sixteen red apples and nine green apples,Sixteen red apples and nine green apples,Accurately generating two distinct exact numbers (16 and 9) and associating each with the correct color (red and green) for apples.,Numerical,Exact Number Generation,5
Twenty-eight blue birds and fifteen white birds,Twenty-eight blue birds and fifteen white birds,Accurately generating two distinct exact numbers (28 and 15) and associating each with the correct color (blue and white) for birds.,Numerical,Exact Number Generation,6
Ten red bicycles and seven blue bicycles,Ten red bicycles and seven blue bicycles,Accurately generating two distinct exact numbers (10 and 7) and associating each with the correct color (red and blue) for bicycles.,Numerical,Exact Number Generation,7
Fifteen pineapples and eleven cherry tomatoes,Fifteen pineapples and eleven cherry tomatoes,Accurately generating two distinct exact numbers (15 and 11) and associating each with the correct objects (pineapples and cherry tomatoes),Numerical,Exact Number Generation,8
Twenty-one purple watches and fourteen orange watches,Twenty-one purple watches and fourteen orange watches,Accurately generating two distinct exact numbers (21 and 14) and associating each with the correct color (purple and orange) for watches,Numerical,Exact Number Generation,9
Seventeen black cats and twelve white cats,Seventeen black cats and twelve white cats,Accurately generating two distinct exact numbers (17 and 12) and associating each with the correct color (black and white) for cats.,Numerical,Exact Number Generation,10
17 red roses and 5 white roses,17 red roses and 5 white roses,Accurately generating two distinct exact numbers (17 and 5) and associating each with the correct color (red and white) for roses.,Numerical,Exact Number Generation,11
3 blue hats and 2 green hats,3 blue hats and 2 green hats,Accurately generating two distinct exact numbers (3 and 2) and associating each with the correct color (blue and green) for hats,Numerical,Exact Number Generation,12
5 yellow pencils and 8 orange pencils,5 yellow pencils and 8 orange pencils,Accurately generating two distinct exact numbers (5 and 8) and associating each with the correct color (yellow and orange) for pencils.,Numerical,Exact Number Generation,13
12 brown ribbons and 7 green ribbons,12 brown ribbons and 7 green ribbons,Accurately generating two distinct exact numbers (12 and 7) and associating each with the correct color (brown and green) for ribbons,Numerical,Exact Number Generation,14
9 silver keys and 4 golden keys,9 silver keys and 4 golden keys,Accurately generating two distinct exact numbers (9 and 4) and associating each with the correct color (silver and golden) for keys.,Numerical,Exact Number Generation,15
8 white shirts and 6 black shirts,8 white shirts and 6 black shirts,Accurately generating two distinct exact numbers (8 and 6) and associating each with the correct color (white and black) for shirts.,Numerical,Exact Number Generation,16
15 pink flowers and 3 blue flowers,15 pink flowers and 3 blue flowers,Accurately generating two distinct exact numbers (15 and 3) and associating each with the correct color (pink and blue) for flowers.,Numerical,Exact Number Generation,17
4 red masks and 9 green masks,4 red masks and 9 green masks,Accurately generating two distinct exact numbers (4 and 9) and associating each with the correct color (red and green) for masks,Numerical,Exact Number Generation,18
11 purple table lamps and 2 orange table lamps,11 purple table lamps and 2 orange table lamps,Accurately generating two distinct exact numbers (11 and 2) and associating each with the correct color (purple and orange) for table lamps,Numerical,Exact Number Generation,19
7 yellow starfruits and 10 green starfruits,7 yellow starfruits and 10 green starfruits,Accurately generating two distinct exact numbers (7 and 10) and associating each with the correct color (yellow and green) for starfruits,Numerical,Exact Number Generation,20
Five red bottles and three blue bottles,Five red bottles and three blue bottles,Accurately generating two distinct exact numbers (5 and 3) and associating each with the correct color (red and blue) for bottles,Numerical,Exact Number Generation,21
Eight yellow colored contact lenses and seven pink colored contact lenses,Eight yellow colored contact lenses and seven pink colored contact lenses,Accurately generating two distinct exact numbers (8 and 7) and associating each with the correct color (yellow and pink) for colored contact lenses,Numerical,Exact Number Generation,22
Nine brown dogs and twelve white dogs,Nine brown dogs and twelve white dogs,Accurately generating two distinct exact numbers (9 and 12) and associating each with the correct color (brown and white) for dogs.,Numerical,Exact Number Generation,23
Three green trees and twenty-five red trees,Three green trees and twenty-five red trees,Accurately generating two distinct exact numbers (3 and 25) and associating each with the correct color (green and red) for trees.,Numerical,Exact Number Generation,24
Fourteen blue rubber bands and seven orange rubber bands,Fourteen blue rubber bands and seven orange rubber bands,Accurately generating two distinct exact numbers (14 and 7) and associating each with the correct color (blue and orange) for rubber bands,Numerical,Exact Number Generation,25
Twenty-one red slingshots and 0 green slingshots,Twenty-one red slingshots and 0 green slingshots,Handling hyphenated number words combined with zero quantity specification requiring object omission,Numerical,Exact Number Generation,26
Sixteen purple butterflies and eight yellow butterflies,Sixteen purple butterflies and eight yellow butterflies,Accurately generating two distinct numbers (16 and 8) and ensuring correct color association (purple and yellow) for butterflies,Numerical,Exact Number Generation,27
Seven black stones and eleven white stones,Seven black stones and eleven white stones,Correctly generating two exact quantities (7 and 11) while maintaining accurate color-object pairings (black and white for stones),Numerical,Exact Number Generation,28
