Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
An umbrella that purifies rainwater for drinking.,"The umbrella handle contains a hollow filtration system with activated charcoal/UV light, plus a spout and purity indicator LEDs near the grip.",Integration of water collection/purification functionality into umbrella mechanics while maintaining portability,Concept mixing,Functional Mixing,1
An alarm clock that prepares your morning beverage.,"The clock has an integrated coffee maker with a visible water reservoir and coffee dispenser, automatically brewing when the alarm rings.",Seamless combination of time-based activation with liquid heating/brewing mechanisms in compact form,Concept mixing,Functional Mixing,2
A mirror that tracks your daily health metrics.,"A modern mirror displaying real-time health data on its surface, such as heart rate, step count, and sleep quality, with a digital interface that gives a tech-savvy feel.",Embedding health monitoring technology into reflective surfaces while maintaining optical clarity,Concept mixing,Functional Mixing,3
A coffee mug that shows the current time and temperature.,"The mug has a digital display seamlessly embedded into its handle, showing real-time clock and liquid temperature readings while maintaining a drinkable container shape.",Seamless integration of digital technology into a functional drinkware design without affecting usability or appearance,Concept mixing,Functional Mixing,4
A guitar that can also cook small meals.,"The guitar body incorporates a compact heating element and cooking surface near the soundhole, allowing food preparation while maintaining functional strings and fretboard for playing.",Balancing the delicate functionality of a musical instrument with the heat and weight demands of a cooking surface,Concept mixing,Functional Mixing,5
A wristwatch that applies sunscreen.,"The watch has a slim, refillable sunscreen reservoir on its underside and a button to dispense a measured dose onto the wearer’s wrist.",Seamless integration of skincare functionality into a wristwatch design while maintaining its primary timekeeping features,Concept mixing,Functional Mixing,6
A chair that plays music.,"The chair is equipped with integrated speakers and a Bluetooth connection, allowing the user to play music directly from their phone or device through the chair’s built-in audio system.","Balancing the comfort and design of the chair with the placement of speakers and audio components, while ensuring the sound quality is optimal and non-intrusive.",Concept Mixing,Functional Mixing,7
A clothes rack that can peel fruit.,"The clothes rack features an integrated fruit peeler mechanism, allowing fruits to be peeled while stored on the rack. It combines clothing storage with a functional, easy-to-use fruit peeler built into the structure.","Designing a functional fruit peeler that can be seamlessly integrated into the clothes rack without affecting its primary function of holding clothes, while maintaining a practical and user-friendly design.",Concept Mixing,Functional Mixing,8
A money-saving cat figurine that blows air.,"The money-saving cat figurine features a built-in fan that blows air when you insert a coin into the slot, combining a playful design with a cooling feature.","Integrating a fan into a small, decorative figurine without compromising its appearance and ensuring the mechanism is durable and safe.",Concept mixing,Functional Mixing,9
A stroller that automatically feeds the baby.,"The stroller is equipped with a mechanism that automatically dispenses food or drinks for the baby, controlled by a smart system that ensures the baby is fed at the right intervals.","Ensuring the feeding system is hygienic, safe, and comfortable for the baby while maintaining the stroller’s functionality and ease of use.",Concept mixing,Functional Mixing,10
A bed that can drive itself.,"The bed is equipped with wheels and a motorized system that allows it to move, enabling users to easily relocate the bed or adjust its position within a room without manual effort.","Ensuring the bed remains stable and comfortable while in motion, with smooth, quiet operation and safety features to prevent accidents.",Concept mixing,Functional Mixing,11
A hat that can charge a phone.,"The hat is equipped with a small solar panel or battery-powered system integrated into the fabric, allowing it to charge a phone wirelessly or through a USB port while being worn.","Ensuring the charging system is lightweight, unobtrusive, and does not affect the comfort or style of the hat, while maintaining effective charging capability.",Concept mixing,Functional Mixing,12
A fan that can clean the floor.,"The fan has an integrated cleaning system, such as a rotating brush or vacuum mechanism, built into its base, allowing it to clean dust and debris from the floor while circulating air.","Balancing the airflow functionality with the cleaning capabilities without compromising on the fan's primary function, and ensuring the cleaning system is effective and easy to maintain.",Concept mixing,Functional Mixing,13
A refrigerator that can cut food.,"The refrigerator includes an integrated slicing or chopping mechanism inside, allowing users to place food in the fridge and have it cut into pieces automatically on demand, using sharp blades or other cutting tools.","Designing a safe, efficient, and hygienic system that can handle different types of food without contamination or damaging the appliance, while being easy to clean.",Concept mixing,Functional Mixing,14
A toothbrush that can cut objects.,"The toothbrush features a small, retractable blade or cutting tool integrated into the handle, which can be deployed for cutting tasks such as slicing through food or packaging, while still functioning as a regular toothbrush.","Ensuring the blade is safely integrated and can be securely retracted when not in use, as well as maintaining the primary functionality of the toothbrush without compromising safety.",Concept mixing,Functional Mixing,15
A pillow that can cook food.,"The pillow has a built-in heating system and cooking surface, allowing it to prepare simple meals while providing the comfort of a pillow, with temperature control for safety and convenience.","Ensuring that the cooking system is safe and efficient while maintaining the pillow's primary function of providing comfort, and preventing heat from being uncomfortable or unsafe.",Concept mixing,Functional Mixing,16
A bedsheet that can make food.,"The bedsheet has embedded cooking technology such as small heating elements or an automated cooking surface, which can prepare food while still functioning as a normal bedsheet.","Integrating cooking elements into a soft, flexible material without compromising comfort or sleep quality, while ensuring safety and hygienic standards.",Concept mixing,Functional Mixing,17
A fan that can cook food.,"The fan is equipped with a small cooking appliance feature, such as a mini oven or heated surface, allowing it to cook food while circulating air.","Ensuring that the fan's cooling functionality does not interfere with the cooking feature, while also keeping the cooking system safe and efficient.",Concept mixing,Functional Mixing,18
A laundry detergent that can adjust brightness.,"The detergent includes special light-reflective particles or compounds that adjust the brightness of clothing based on lighting conditions, enhancing the appearance of the fabric.","Ensuring that the brightness adjustment does not interfere with the cleaning performance of the detergent, and remains effective after multiple washes.",Concept mixing,Functional Mixing,19
A juicer with a calendar function.,"The juicer includes a built-in calendar system that tracks when fruits are juiced, reminds the user of maintenance schedules, and provides notifications for different types of fruits that are in season.","Integrating the calendar system into the juicer without compromising its functionality, while ensuring the system is user-friendly and does not interfere with the juicing process.",Concept mixing,Functional Mixing,20
A broom that can measure the length of ingredients.,"The broom has an integrated measuring tape or sensor system built into the handle or bristles, allowing it to measure the length of ingredients while sweeping.","Ensuring the measuring system is accurate, durable, and does not interfere with the broom's primary function of sweeping, while remaining easy to use.",Concept mixing,Functional Mixing,21
A sunhat with an eye massage function.,"The sunhat features built-in massage components around the eyes, providing a relaxing massage while protecting the wearer from the sun.","Designing a comfortable, lightweight hat with an effective massage function that does not interfere with the hat's sun protection capabilities.",Concept mixing,Functional Mixing,22
A headphone that can trim hair.,"The headphone includes small, retractable trimming blades integrated into the ear cups, allowing the user to trim their hair while listening to music.","Ensuring the trimming function is safe, effective, and does not interfere with the headphone's audio quality or comfort.",Concept mixing,Functional Mixing,23
A makeup mirror that can automatically iron clothes.,The makeup mirror has a built-in steam or heating function capable of ironing clothes while also serving as a regular makeup mirror.,"Balancing the functionality of both the mirror and the iron, ensuring the mirror remains clear and the iron is efficient without causing any discomfort or safety concerns.",Concept mixing,Functional Mixing,24
A nail clipper that provides lighting.,"The nail clipper has a built-in LED light that illuminates the nail, providing better visibility during trimming.","Integrating the lighting system without making the clipper bulky or uncomfortable to use, while ensuring the light is bright and focused for optimal use.",Concept mixing,Functional Mixing,25
A phone that can iron clothes.,"The phone features a compact, retractable ironing function built into its body, allowing it to be used for ironing clothes while still maintaining its smartphone functions.","Designing a phone that is practical and functional both as a device for communication and as a garment care tool, while ensuring safety and ease of use.",Concept mixing,Functional Mixing,26
A broom that can mop the floor.,"The broom has an integrated mopping system, such as a wet cloth or mop head, allowing it to both sweep and mop the floor in a single motion.","Ensuring the broom effectively combines sweeping and mopping functions without compromising its primary function, while maintaining ease of use and preventing messes.",Concept mixing,Functional Mixing,27
An iron that can automatically fold clothes.,"The iron includes a mechanism or technology that automatically folds clothes after they have been ironed, saving time and effort.","Integrating a folding system that is both efficient and delicate, while maintaining the effectiveness of the iron in removing wrinkles and ensuring clothing is not damaged.",Concept mixing,Functional Mixing,28
A pair of scissors that can cook food.,"The scissors have a built-in heating element and cooking mechanism, allowing them to cook food while cutting or chopping ingredients.",Integrating the cooking mechanism into scissors while maintaining their cutting efficiency and ensuring safety during use.,Concept mixing,Functional Mixing,29
A pot that can print documents.,The pot includes a built-in printer system that can print documents directly from a device while also serving as a cooking utensil.,"Balancing the functionality of a cooking pot and a printer in a way that ensures neither is compromised, including the heat resistance and precision of the printer.",Concept mixing,Functional Mixing,30
A printing machine that can steam buns.,"The printing machine is equipped with a steaming compartment, allowing it to print designs on paper and steam buns simultaneously.","Combining the delicate printing process with the ability to steam food, ensuring both functions are performed effectively without interference.",Concept mixing,Functional Mixing,31
A smart microwave that manages schedules.,"The microwave integrates with calendar and scheduling apps, allowing users to set cooking times, reminders, and meal plans automatically.","Ensuring the microwave functions properly as a cooking appliance while integrating seamlessly with scheduling software, maintaining user-friendly interaction.",Concept mixing,Functional Mixing,32
A chopping board that can send faxes.,"The chopping board includes a built-in fax machine, enabling users to send documents while preparing food.",Integrating a fax machine into a chopping board without compromising its functionality for food preparation and ensuring its usability in both tasks.,Concept mixing,Functional Mixing,33
A keyboard that can store food.,"The keyboard is designed with compartments and cooling mechanisms, allowing users to store small food items while typing or working.","Ensuring that the keyboard remains functional for typing while incorporating food storage features, without damaging either the food or the keyboard.",Concept mixing,Functional Mixing,34
A whisk that can write.,The whisk is equipped with a mechanism that allows it to write or draw on paper or other surfaces while also performing its usual whisking function.,"Balancing the functionality of a writing tool with that of a whisk, ensuring both tasks are carried out without interference or difficulty.",Concept mixing,Functional Mixing,35
A grill that can generate wind.,"The grill is designed with a built-in fan system that can generate wind, providing a cooling breeze while grilling food.",Integrating a wind-generating system into a grill without compromising its cooking performance and ensuring safety during use.,Concept mixing,Functional Mixing,36
A long-handled spoon that can be used as an eraser.,"The long-handled spoon is designed with a rubberized tip that can effectively erase pencil marks, making it useful in both cooking and office settings.",Ensuring the spoon can function as a proper eraser without compromising its primary function as a cooking tool.,Concept mixing,Functional Mixing,37
A glue bottle that can also staple papers.,"The glue bottle is designed with a built-in stapler at its cap, allowing users to staple papers while dispensing glue.","Ensuring the glue and stapler functionalities don't interfere with each other, maintaining ease of use for both.",Concept mixing,Functional Mixing,38
A shoe with vacuum functionality.,The shoe is equipped with a mini vacuum system that can suck up dust and debris from the floor as the wearer walks.,Ensuring the vacuum system doesn't make the shoe uncomfortable or heavy while maintaining its cleaning effectiveness.,Concept mixing,Functional Mixing,39
A piece of clothing that can function as a calculator.,"The clothing incorporates a built-in digital calculator on the fabric, allowing users to perform simple calculations by pressing buttons integrated into the clothing.",Designing a way to integrate the calculator function seamlessly into the fabric without affecting the wearability and comfort of the clothing.,Concept mixing,Functional Mixing,40
