Prompt,Reference Caption,Category,Subcategory,id,Assessment Point
"Arrange three paintings (Landscape, Portrait, Abstract) in a row with Portrait not in the middle. List all valid permutations.","The valid permutations are: (Landscape, Abstract, Portrait), (Portrait, Landscape, Abstract), (Portrait, Abstract, Landscape), and (Abstract, Landscape, Portrait).",Symbolic Mathematical,Combinatorial,1,"Evaluation focuses on ensuring that Portrait never appears in the central position, all four valid permutations are included, no invalid middle-position portraits are present, item relationships at the edge positions are correct, and two invalid cases are properly excluded."
"Arrange four items (apple, banana, cat, dog) in a row with apple adjacent to banana and cat adjacent to dog. List all permutations.","The valid permutations are: (apple, banana, cat, dog), (banana, apple, cat, dog), (apple, banana, dog, cat), (banana, apple, dog, cat), (cat, dog, apple, banana), (dog, cat, apple, banana), (cat, dog, banana, apple), and (dog, cat, banana, apple).",Symbolic Mathematical,Combinatorial,2,"Evaluation ensures that the apple/banana and cat/dog pairs are always adjacent, both orientations for each pair are represented, all eight valid permutations are included, the block positions within the row are correct, and no mixed pairings occur between the two constraint groups."
"Arrange three fruits (Apple, Banana, Orange) and two vehicles (Car, Bicycle) in a row with all fruits together. List all permutations.","The valid permutations are: (Apple, Banana, Orange, Car, Bicycle), (Apple, Banana, Orange, Bicycle, Car), (Car, Apple, Banana, Orange, Bicycle), (Bicycle, Apple, Banana, Orange, Car), (Car, Bicycle, Apple, Banana, Orange), and (Bicycle, Car, Apple, Banana, Orange).",Symbolic Mathematical,Combinatorial,3,"Evaluation ensures that the fruits remain consecutive in all cases, all six valid permutations are present, the fruit block appears in multiple positions, the vehicles are correctly permuted around the fruit group, and there are no fragmented fruit groupings in any permutation."
"Arrange three balls (two red 🔴, one blue 🔵) in a row. Show all unique permutations.","The valid permutations are: 🔴🔴🔵, 🔴🔵🔴, and 🔵🔴🔴.",Symbolic Mathematical,Combinatorial,4,"Evaluation ensures that all three distinct permutations are present, no duplicate arrangements are shown, the color sequence in each permutation is correct, each arrangement contains exactly two red balls and one blue ball, and a linear horizontal arrangement format is followed."
"Arrange a square (■), triangle (▲), and circle (●) in a row with the triangle not in the middle.","The valid permutations are: ▲■●, ▲●■, ■●▲, and ●■▲.",Symbolic Mathematical,Combinatorial,5,"Evaluation ensures that the triangle never appears in the second position, all four valid permutations are displayed, distinct geometric shapes occupy each position, no arrangements place the triangle in the middle, and clear spatial separation is maintained between the shapes."
Display all ways to arrange two apples and two oranges in a row.,"The valid permutations are: (apple, apple, orange, orange), (apple, orange, apple, orange), (apple, orange, orange, apple), (orange, apple, apple, orange), (orange, apple, orange, apple), and (orange, orange, apple, apple).",Symbolic Mathematical,Combinatorial,6,"Evaluation ensures that all six distinct combinations are present, each arrangement contains exactly two apples and two oranges, no duplicate sequences occur, item alignment in each row is correct, and identical items have equal visual weight."
"Arrange three shapes (triangle, square, circle) in a line where the triangle is not last.","The valid permutations are: triangle-square-circle, triangle-circle-square, square-triangle-circle, and circle-triangle-square.",Symbolic Mathematical,Combinatorial,7,"Evaluation ensures that the triangle never appears in the third position, all four valid permutations are shown, the shape order is correct in each sequence, clear hyphen-separated formatting is maintained, and no permutations end with the triangle."
Place a red square and two blue squares in a row of three cells. List all unique arrangements.,"The valid permutations are: (red square, blue square, blue square), (blue square, red square, blue square), and (blue square, blue square, red square).",Symbolic Mathematical,Combinatorial,8,"Evaluation ensures that all three distinct color patterns are present, each arrangement contains one red and two blue squares, clear cell boundaries are shown in row format, no identical neighboring color patterns occur, and square sizing and color differentiation are consistent."
"Arrange three books (red book, green book, blue book) in a row where the red book is first or last.","The valid permutations are: red book - green book - blue book, red book - blue book - green book, green book - blue book - red book, and blue book - green book - red book.",Symbolic Mathematical,Combinatorial,9,"Evaluation ensures that the red book appears only in the first or last position, exactly three distinct books are present in each arrangement, all valid permutations are shown, no invalid permutations such as green - red - blue appear, and a horizontal linear arrangement is maintained."
Arrange two cats and two dogs in a row with no two cats adjacent.,"The valid permutations are: cat - dog - dog - cat, cat - dog - cat - dog, and dog - cat - dog - cat.",Symbolic Mathematical,Combinatorial,10,"Evaluation ensures that no two cats appear consecutively, each arrangement contains exactly two cats and two dogs, all valid patterns are shown, the sequence is horizontal, and no invalid arrangements such as cat - cat - dog - dog occur."
"Arrange four students (student with red backpack, student with green backpack, student with yellow backpack, student with blue backpack) in a line where the student with green backpack is second.","The valid permutations are: student with red backpack - student with green backpack - student with yellow backpack - student with blue backpack, student with red backpack - student with green backpack - student with blue backpack - student with yellow backpack, student with yellow backpack - student with green backpack - student with red backpack - student with blue backpack, student with yellow backpack - student with green backpack - student with blue backpack - student with red backpack, student with blue backpack - student with green backpack - student with red backpack - student with yellow backpack, and student with blue backpack - student with green backpack - student with yellow backpack - student with red backpack.",Symbolic Mathematical,Combinatorial,11,"Evaluation ensures that the green backpack student consistently appears in the second position, all four distinct students are represented, all six valid permutations are displayed, the linear horizontal arrangement is maintained, and there are no instances of the green backpack student in positions 1, 3, or 4."
"Arrange three flags (red flag, green flag, blue flag) vertically, with the green flag not at the top.","The valid permutations are: red flag - green flag - blue flag, red flag - blue flag - green flag, blue flag - green flag - red flag, and blue flag - red flag - green flag.",Symbolic Mathematical,Combinatorial,12,"Evaluation ensures that vertical stacking of flags is maintained, the green flag never appears in the top position, all three flag colors are present in each arrangement, all four valid permutations are shown, and no color is repeated within any individual arrangement."
