Prompt,Reference Caption,Category,Subcategory,Assessment Point,id
Generate a traffic light where none of the lights are green.,A traffic light showing only red and/or yellow.,logical,Categorical,"Assesses the ability to interpret ""none"" when applied to a set of options.",1
"A fruit basket containing only apples, no oranges.",A basket filled exclusively with apples.,logical,Categorical,"Tests comprehension of the restrictive term ""only"" along with the absence of oranges.",2
A dog park where all dogs are wearing collars.,All dogs are wearing collars; no dogs are without collars.,logical,Categorical,"Measures the interpretation of the universal quantifier ""all"".",3
A library where every bookshelf is empty.,Bookshelves that contain no books.,logical,Categorical,"Evaluates understanding of the universal quantifier ""every"".",4
"A wardrobe with only shoes on hangers, no clothes.","The wardrobe contains only shoes on hangers, and no clothing items are present.",logical,Categorical,"Assesses comprehension of ""only"" in a context where clothing would normally be Reference Caption.",5
"A refrigerator where every shelf is full of books, no food items.","Each shelf in the refrigerator is filled with books, and there are no food items inside.",logical,Categorical,"Tests the ability to interpret the concept of ""every"" .",6
"A dining table where every chair has a pile of socks, no one is sitting.","Each chair at the dining table is occupied by piles of socks, and no one is sitting.",logical,Categorical,"Tests the interpretation of ""every"" 、.",7
A toy box where every toy is a superhero figure.,"A box filled entirely with superhero figures, no other types of toys.",logical,Categorical,"Evaluates understanding of the universal quantifier ""every"".",8
"A park where some of the toys are bicycles, and the rest are scooters.","A mix of bicycles and scooters, with no other types of toys.",logical,Categorical,"Evaluates comprehension of ""some"" and ""the rest"" in categorization.",9
A toolbox where none of the tools are hammers.,"A toolbox containing no hammers, only other tools.",logical,Categorical,"Assesses the ability to interpret ""none"" when applied to a set of tools.",10
"A workbench with many repair tools, some are screwdrivers, others are springs.","A mix of screwdrivers and springs, with no other types of tools.",logical,Categorical,"Evaluates comprehension of ""some"" and ""others"" when categorizing tools.",11
A classroom with only chairs and no tables.,A classroom with only chairs and no tables present.,logical,Categorical,"Tests comprehension of ""only"" in a setting.",12
"A restaurant with many people, all of whom are wearing armbands.",All people in the restaurant are wearing armbands; no one is without one.,logical,Categorical,"Tests comprehension of ""all"" in categorizing people.",13
"A police vehicle with many items, some are handcuffs, others are flashlights.","A mix of handcuffs and flashlights, with no other items.",logical,Categorical,"Evaluates comprehension of ""some"" and ""others"" when categorizing police gear.",14
A police equipment locker where none of the items are riot shields.,"A locker containing no riot shields, only other police equipment.",logical,Categorical,"Assesses understanding of ""none"" when applied to police equipment.",15
A police training session where some officers are practicing with firearms and others with batons.,A mix of officers practicing with firearms and others with batons.,logical,Categorical,"Tests comprehension of ""some"" and ""others"" when categorizing tools.",16
A shopping cart with only fruit and no vegetables.,"A cart containing only fruits, with no vegetables included.",logical,Categorical,"Tests comprehension of ""only"" when applied to items in a cart.",17
A supermarket where every item is canned food.,"The supermarket contains only canned food, with no fresh or frozen items.",logical,Categorical,"Tests comprehension of ""every"" applied to a single category of items.",18
"A freezer is filled with many items, and all the items are vegetables.","The freezer contains only vegetables, with no other types of food.",logical,Categorical,"Tests comprehension of ""all"" applied to a single category of items.",19
A living room with none of the furniture being a sofa.,"The living room contains no sofas, only other types of furniture.",logical,Categorical,"Assesses the ability to interpret ""none"" when applied to furniture.",20
A first aid kit where some items are spoons and others are forks.,"The first aid kit contains some spoons and some forks, with no other types of items.",logical,Categorical,"Evaluates comprehension of ""some"" and ""others"" when categorizing items.",21
A concert where none of the performers are playing string instruments.,"The concert features no string instruments, only other types of instruments.",logical,Categorical,"Assesses comprehension of ""none"" in a musical setting.",22
"A bathroom with many towels, where every towel is blue.",All towels in the bathroom are blue; none are of other colors.,logical,Categorical,"Tests comprehension of ""every"" in categorizing items.",23
A wardrobe with only swimsuits and no other clothes.,"The wardrobe contains only swimsuits, with no other types of clothes present.",logical,Categorical,Tests understanding of 'only' in the context of categorization.,24
"A zoo where every animal is a reptile, no mammal.","The zoo contains only reptiles, with no mammals or other types of animals.",logical,Categorical,"Tests comprehension of ""every"" when applied to a specific category of animals.",25
A train where some of the seats are made of sand and the rest are rocks.,"The train has seats made of sand and rocks, with no other types of seating.",logical,Categorical,Evaluates understanding of 'some' in a transport context.,26
A supermarket where every shelf contains nothing but balloons.,"The supermarket only has balloons on all shelves, with no actual products.",logical,Categorical,Evaluates understanding of 'every' in a retail setting.,27
A house where none of the walls are straight.,"The house has only crooked, irregular walls, with no straight walls.",logical,Categorical,Tests comprehension of 'none' in a residential setting.,28
A gym where none of the equipment is used for exercising.,"The gym has equipment, but none of it is used for physical exercise.",logical,Categorical,Tests comprehension of 'none' in a fitness setting.,29
Many hammers where none of the heads are made of metal.,"All hammers have heads made of non-metallic materials, with no metal heads present.",logical,Categorical,Tests comprehension of 'none' in a tool context.,30
"Many pairs of pliers where some of the jaws are completely flat, and the rest are circular.","A mix of flat-jawed and circular-jawed pliers, with no other types of jaws present.",logical,Categorical,Evaluates understanding of 'some' and 'the rest' in categorization.,31
"A measuring tape where only the end is marked with numbers, but the rest is blank.","The measuring tape has no markings except at the end, making it unusable.",logical,Categorical,Assesses comprehension of 'only' in a measuring context.,32
A set of nails where all of them are bent at a 90-degree angle.,"The set contains only bent nails, with no straight ones.",logical,Categorical,Evaluates understanding of 'all' in a practical setting.,33
A ballet studio where all the dancers are wearing boots.,All dancers are wearing boots; none are wearing ballet shoes or other footwear.,logical,Categorical,Evaluates understanding of 'all' in a dance context.,34
A construction site where every brick is made of clay.,"Every brick on the construction site is made of clay, with no bricks made of other materials.",logical,Categorical,Evaluates understanding of 'every' in a building context.,35
A house with only doors and no roof.,"The house contains only doors, with no roof or other parts of a typical structure.",logical,Categorical,Assesses comprehension of 'only' in a building structure.,36
"A construction site where some workers are wearing school uniforms, and the rest are in formal suits.","Some workers are wearing school uniforms, and others are wearing formal suits; no other types of attire are visible.",logical,Categorical,Evaluates understanding of 'some' and 'the rest' in a work setting.,37
A bakery where all the breads are star-shaped.,All breads in the bakery are star-shaped; no other shapes are present.,logical,Categorical,Evaluates understanding of 'all' in a bakery setting.,38
A farm where every cow has very long fur.,All cows on the farm have long fur; none have short or medium-length fur.,logical,Categorical,Evaluates comprehension of 'every' when applied to a group of animals.,39
A blacksmith's forge producing nothing but soap bubbles,"No metal objects created, only ephemeral spherical formations.",logical,Categorical,Tests absolute negation through 'nothing but'.,40
A coral reef where every fish has metallic scales,Complete biological adaptation with 100% metal-based marine life.,logical,Categorical,Tests universal quantification through 'every' in marine biology.,41
"A balcony with many plants, only cruciferous plants.","The balcony contains only cruciferous plants, with no other types of plants present.",logical,Categorical,Evaluates 'only' in the context of plant categorization.,42
A toy store with many toys where none of the toys are dolls.,"The toy store contains no dolls, only other types of toys.",logical,Categorical,Assesses the ability to interpret 'none' when applied to a set of toys.,43
A wardrobe filled with items where all the items are kitchen utensils.,"The wardrobe contains only kitchen utensils, with no clothing or other types of items.",logical,Categorical,Tests understanding of categorization when 'all' is applied to a set of unrelated items.,44
A bathroom with only cleaning products and no towels or toiletries.,"The bathroom contains only cleaning products, with no towels, toiletries, or other typical items.",logical,Categorical,Assesses understanding of category misplacement in everyday settings.,45
A car repair shop filled with items where every tool is a pair of tweezers.,"The car repair shop contains only tweezers as tools, with no other repair equipment.",logical,Categorical,Evaluates understanding of categorization when tools are replaced with an unReference Caption item.,46
A hardware store with many hardware items where every item is a screwdriver.,"The hardware store contains only screwdrivers, with no other types of hardware tools.",logical,Categorical,Assesses comprehension of categorization when a store is filled with a single type of item.,47
A shopping mall with many people where each person is holding a rabbit.,Every person in the mall is holding a rabbit; no one is without a rabbit.,logical,Categorical,Tests the interpretation of 'every' when applied to a set of people holding an unusual item.,48
"A plant exhibition hall with some seed plants, and the rest are algae plants.","The exhibition contains a mix of seed plants and algae plants, with no other types of plants.",logical,Categorical,Evaluates comprehension of 'some' and 'the rest' when categorizing plants.,49
"A box filled with many foods, some are high-carb foods, and the rest are high-protein foods.","The box contains a mix of high-carb and high-protein foods, with no other types of food.",logical,Categorical,Evaluates comprehension of 'some' and 'the rest' in categorizing food types.,50
"A cosmetics store with many cosmetics, some are eye makeup products, and the rest are lip makeup products.","The store contains a mix of eye and lip makeup products, with no other types of cosmetics.",logical,Categorical,Evaluates comprehension of 'some' and 'the rest' in categorizing cosmetics.,51
"A stationery store with many sports items, only individual sports equipment, and no team sports equipment.","The store contains only individual sports items, with no team sports items.",logical,Categorical,Assesses comprehension of 'only' and 'none' when applied to categories of sports items.,52
"A garage with many cars, some are motorcycles, and the rest are trucks.","The garage contains a mix of motorcycles and trucks, with no other types of vehicles.",logical,Categorical,Assesses comprehension of 'some' and 'the rest' in categorizing vehicles.,53
"A bag filled with many foods, all of which are high-purine foods.","The bag contains only high-purine foods, with no other types of food present.",logical,Categorical,Assesses comprehension of 'all' when applied to a specific category of food.,54
"A musical instrument store with many instruments, all of which are percussion instruments.","The store contains only percussion instruments, with no other types of instruments.",logical,Categorical,Assesses comprehension of 'every' in a music store context.,55
A flower basket where all the flowers are single-petaled.,"The basket contains only single-petaled flowers, with no other types of flowers.",logical,Categorical,Assesses comprehension of 'all' in a categorization context.,56
"A palette with many colors, where all the colors are cool colors.","The palette contains only cool colors, with no warm colors or other types of colors.",logical,Categorical,Assesses comprehension of 'every' when applied to color categorization.,57
"A hallway with many beautiful clothes, but no formal clothes.","The hallway contains only non-formal clothes, with no formal wear present.",logical,Categorical,Assesses comprehension of 'none' when applied to a set of clothing.,58
"A jewelry store with many pieces of jewelry, but no necklaces.","The store contains many jewelry pieces, but no necklaces are present.",logical,Categorical,Assesses comprehension of 'none' when applied to a set of jewelry.,59
A large garbage pile containing only recyclable waste.,"The pile contains only recyclable waste, with no other types of garbage.",logical,Categorical,Assesses understanding of 'only' in the context of waste categorization.,60
A large garbage pile containing only recyclable waste.,"The pile contains only recyclable waste, with no other types of garbage.",logical,Categorical,Assesses understanding of 'only' in the context of waste categorization.,61
"A display case filled with molds, only featuring models of air traffic vehicles.","The display case contains only air traffic vehicle models, with no other types of molds.",logical,Categorical,Assesses understanding of 'only' when applied to a specific type of mold.,62
"A display table filled with cooking tools, only featuring cookware.","The table contains only cookware, with no other cooking tools.",logical,Categorical,Assesses understanding of 'only' when applied to a specific category of kitchen tools.,63
"A drawer filled with office stationery, only containing binding tools.","The drawer contains only binding tools, with no other office stationery items.",logical,Categorical,Assesses understanding of 'only' in the context of office supplies.,64
"A cabinet filled with kitchen gadgets, only containing cutting tools.","The cabinet contains only cutting tools, with no other types of kitchen gadgets.",logical,Categorical,Assesses understanding of 'only' in the context of kitchen tools.,65
"A refrigerator filled with food, only containing dairy products.","The refrigerator contains only dairy products, with no other food items.",logical,Categorical,Assesses understanding of 'only' in the context of food categorization.,66
"A museum with many exhibits, only sculpture exhibits, and no painting exhibits.","The museum contains only sculpture exhibits, with no paintings or other types of artwork.",logical,Categorical,Assesses understanding of 'only' and 'none' when applied to different types of exhibits.,67
"A display case filled with molds, only featuring air traffic molds.","The display case contains only air traffic molds, with no other types of molds present.",logical,Categorical,Assesses understanding of 'only' when applied to a specific category of molds.,68
"A pet store with many pets, only oviparous animals.","The pet store contains only oviparous animals, with no viviparous animals or other types of pets.",logical,Categorical,Assesses understanding of 'only' and 'none' when applied to categories of animals.,69
A laboratory that only contains measuring instruments.,"The laboratory contains only measuring instruments such as graduated cylinders, beakers, and test tubes, with no other types of laboratory equipment.",logical,Categorical,Assesses understanding of 'only' when applied to a specific category of laboratory equipment.,70
"A chemistry laboratory where some equipment is made of plastic, and the rest is made of glass.","The laboratory contains some plastic equipment, such as plastic graduated cylinders and plastic bottles, and the rest is made of glass, such as glass beakers and glass test tubes.",logical,Categorical,Assesses understanding of 'some' in the context of material categorization of laboratory equipment.,71
A laboratory that only contains heating equipment.,"The laboratory contains only heating equipment, such as alcohol lamps, electric furnaces, and evaporating dishes, with no other types of laboratory equipment.",logical,Categorical,Assesses understanding of 'only' when applied to a specific functional category of laboratory equipment.,72
