Prompt,Reference Caption,Assessment Point,Category,Subcategory,id
A city during a blackout at night,No lights are visible on buildings or streets.,"During a blackout, power is cut off, which causes all lights to go out in the city, resulting in no visible lighting on buildings or streets.",Commonsense,Social Cultural Knowledge Scene,1
A chef sharpening a knife,The chef is putting a knife on a whetstone.,Sharpening a knife is typically done by rubbing the blade on a whetstone to hone its edge and improve its sharpness.,Commonsense,Social Cultural Knowledge Scene,2
An apple orchard after harvesting is over,Almost no apples are left hanging on the trees.,"Once the apple harvesting season is over, most of the apples have been picked, leaving very few, if any, still hanging on the trees.",Commonsense,Social Cultural Knowledge Scene,3
A theater stage during a scene change,Crew members are walking and rearranging furniture on the stage. The stage is dark. No actors are on stage.,"During a scene change in a theater, crew members need to rearrange props and furniture for the next scene, and the stage is often dark to avoid disrupting the transition. Actors are typically not on stage during this time.",Commonsense,Social Cultural Knowledge Scene,4
A person coughing rudely in public,The person is coughing without covering their mouth.,"Coughing without covering one's mouth is considered rude and inconsiderate in public spaces, as it can spread germs to others nearby.",Commonsense,Social Cultural Knowledge Scene,5
A campsite during a fire ban at night,No fire is burning at the campsite.,"A fire ban prohibits lighting fires to prevent wildfires, meaning no fire would be allowed at the campsite, especially at night when the risk of fire spreading is higher.",Commonsense,Social Cultural Knowledge Scene,6
A conductor after the concert,The conductor is idle and not waving the baton.,"After the concert, the conductor's role is done, and the performance has ended, so they would not be actively waving the baton.",Commonsense,Social Cultural Knowledge Scene,7
A bride during the honeymoon,The woman is in casual attire.,"During the honeymoon, it is typical for the bride to wear casual clothing, as formal wedding attire is usually only worn during the ceremony and reception.",Commonsense,Social Cultural Knowledge Scene,8
A construction worker enjoying family time after work,A person is in casual attire and with family at home.,"After a workday, a construction worker would likely change into casual clothing and spend time with their family at home, as work attire is typically worn only during working hours.",Commonsense,Social Cultural Knowledge Scene,9
A shopper's cart before she buys anything,The cart is empty.,"Before purchasing items, a shopper's cart is typically empty as it has not yet been filled with selected products.",Commonsense,Social Cultural Knowledge Scene,10
The dish of a person just finishing eating,An empty plate has no food in it.,"After finishing a meal, the plate would typically be empty as the food has already been consumed, which aligns with the context of someone just finishing eating.",Commonsense,Social Cultural Knowledge Scene,11
